test,result,time (μs),memory (kb),clauses
1,timeout,60000433,690360,528947
2,timeout,60000227,924472,685272
3,timeout,60000193,349760,298027
4,timeout,60000200,785596,540288
5,timeout,60000194,688012,513015
6,timeout,60000187,626316,466189
7,timeout,60000214,576704,410750
8,timeout,60000225,452496,308118
9,timeout,60000225,768564,581474
10,timeout,60000216,577588,491756
11,timeout,60000224,650688,503660
12,timeout,60000194,656056,467998
13,timeout,60000195,734784,514304
14,timeout,60000205,886668,671876
15,timeout,60000242,551308,410762
16,timeout,60000185,564800,437069
17,timeout,60000212,572684,412609
18,timeout,60000182,1023552,719059
19,timeout,60000206,853648,651753
20,timeout,60000209,782144,512894
21,timeout,60000210,718528,546666
22,timeout,60000167,739520,527539
23,timeout,60000438,768688,547418
24,timeout,60000180,503052,342356
25,timeout,60000199,924940,671402
26,timeout,60000261,536592,410133
27,timeout,60000217,704320,552789
28,timeout,60000192,448820,353568
29,timeout,60000219,708752,480564
30,timeout,60000194,802960,580547
31,timeout,60000185,413836,328386
32,timeout,60000169,1009164,760749
33,timeout,60000231,510516,360167
34,timeout,60000197,749888,505025
35,timeout,60000228,777400,529530
36,timeout,60000198,906040,643462
37,timeout,60000226,572224,450258
38,timeout,60000216,998464,727578
39,timeout,60000222,711488,492258
40,timeout,60000266,415756,318857
41,timeout,60000200,883896,638487
42,timeout,60000180,637136,476313
43,timeout,60000177,785680,548673
44,timeout,60000174,644148,451198
45,timeout,60000179,728588,454166
46,timeout,60000208,642880,475216
47,timeout,60000242,766528,604418
48,timeout,60000252,538252,413790
49,timeout,60000210,844608,612910
50,timeout,60000228,490164,352436
51,timeout,60000204,462476,307697
52,timeout,60000208,430732,328370
53,timeout,60000190,529552,369682
54,timeout,60000249,509068,370673
55,timeout,60000222,931472,624527
56,timeout,60000184,811584,548066
57,timeout,60000214,574912,411065
58,timeout,60000168,473740,362415
59,timeout,60000253,834868,625572
60,timeout,60000429,625036,431336
61,timeout,60000231,796992,562572
62,timeout,60000175,606400,464864
63,timeout,60000185,667852,467992
64,timeout,60000232,554932,388278
65,timeout,60000255,474320,296827
66,timeout,60000210,433856,331572
67,timeout,60000220,502080,338735
68,timeout,60000255,482880,387618
69,timeout,60000207,675392,502789
70,timeout,60000226,714896,514616
71,timeout,60000185,614592,475440
72,timeout,60000198,590988,442041
73,timeout,60000146,716944,536271
74,timeout,60000490,552756,362209
75,timeout,60000195,628920,408890
76,timeout,60000203,677904,542616
77,timeout,60000181,549172,418399
78,timeout,60000229,784976,560528
79,timeout,60000180,659252,457950
80,timeout,60000282,556220,396607
81,timeout,60000198,724660,513438
82,timeout,60000239,805824,531908
83,timeout,60000213,734912,506456
84,timeout,60000180,843664,591479
85,timeout,60000171,1091504,756987
86,timeout,60000265,686220,487952
87,timeout,60000187,422208,320734
88,timeout,60000228,485004,335320
89,timeout,60000236,504768,334472
90,timeout,60000201,718480,512426
91,timeout,60000212,724032,540923
92,timeout,60000191,660304,451732
93,timeout,60000234,692532,473280
94,timeout,60000240,693556,488830
95,timeout,60000192,553100,372438
96,timeout,60000200,714944,504860
97,timeout,60000212,562496,383804
98,timeout,60000245,648636,463536
99,timeout,60000185,1072820,753810
100,timeout,60000184,981648,744529
