test,result,time (μs),memory (kb),clauses
1,timeout,60000205,21152,2118
2,timeout,60000265,20824,2118
3,timeout,60000212,21280,2118
4,timeout,60000252,20548,2118
5,timeout,60000192,21348,2118
6,timeout,60000216,20760,2118
7,timeout,60000177,20828,2118
8,timeout,60000229,21580,2118
9,timeout,60000195,20460,2118
10,timeout,60000167,20948,2118
11,timeout,60000193,21112,2118
12,timeout,60000227,21088,2118
13,timeout,60000200,21244,2118
14,timeout,60000179,21372,2118
15,timeout,60000167,21168,2118
16,timeout,60000183,21172,2118
17,timeout,60000169,21376,2118
18,timeout,60000201,21016,2118
19,timeout,60000196,20768,2118
20,timeout,60000217,20872,2118
21,timeout,60000442,20232,2118
22,timeout,60000177,22028,2118
23,timeout,60000153,21012,2118
24,timeout,60000161,20944,2118
25,timeout,60000164,21088,2118
26,timeout,60000207,20412,2118
27,timeout,60000210,20464,2118
28,timeout,60000207,21088,2118
29,timeout,60000190,21012,2118
30,timeout,60000218,20876,2118
31,timeout,60000236,20832,2118
32,timeout,60000173,20964,2118
33,timeout,60000212,21104,2118
34,timeout,60000193,21488,2118
35,timeout,60000195,21016,2118
36,timeout,60000455,21324,2118
37,timeout,60000169,21188,2118
38,SAT,48494515,20960,2118
39,timeout,60000217,20480,2118
40,timeout,60000226,20980,2118
41,timeout,60000189,20480,2118
42,timeout,60000233,20660,2118
43,timeout,60000186,21184,2118
44,timeout,60000231,21448,2118
45,timeout,60000212,21168,2118
46,timeout,60000180,20396,2118
47,timeout,60000190,20576,2118
48,timeout,60000185,20884,2118
49,timeout,60000195,20900,2118
50,timeout,60000160,21344,2118
51,timeout,60000413,20740,2118
52,timeout,60000232,20664,2118
53,timeout,60000172,20636,2118
54,timeout,60000160,20472,2118
55,timeout,60000239,20748,2118
56,timeout,60000236,21472,2118
57,SAT,5867285,20176,2118
58,timeout,60000171,21336,2118
59,timeout,60000214,21568,2118
60,timeout,60000272,21824,2118
61,timeout,60000199,20940,2118
62,timeout,60000167,20684,2118
63,timeout,60000189,21080,2118
64,timeout,60000176,21000,2118
65,timeout,60000186,20840,2118
66,timeout,60000199,21452,2118
67,timeout,60000167,20684,2118
68,timeout,60000205,20784,2118
69,timeout,60000209,21764,2118
70,timeout,60000129,21168,2118
71,timeout,60000204,20944,2118
72,timeout,60000174,21652,2118
73,timeout,60000217,21008,2118
74,timeout,60000172,20672,2118
75,timeout,60000200,21044,2118
76,timeout,60000201,21208,2118
77,timeout,60000168,20980,2118
78,timeout,60000221,21324,2118
79,timeout,60000195,21292,2118
80,timeout,60000196,19980,2118
81,timeout,60000186,20184,2118
82,SAT,10917395,19800,2118
83,timeout,60000181,20848,2118
84,timeout,60000184,21088,2118
85,timeout,60000220,20804,2118
86,timeout,60000198,21076,2118
87,timeout,60000185,20992,2118
88,timeout,60000182,21572,2118
89,timeout,60000229,19756,2118
90,SAT,218521,20412,2118
91,timeout,60000185,21116,2118
92,timeout,60000230,21132,2118
93,timeout,60000211,20496,2118
94,timeout,60000223,20824,2118
95,timeout,60000158,21268,2118
96,timeout,60000255,19680,2118
97,timeout,60000418,20892,2118
98,timeout,60000187,20260,2118
99,timeout,60000192,21236,2118
100,timeout,60000202,21124,2118
