test,result,time (μs),memory (kb),clauses
1,timeout,60000217,399500,469824
2,timeout,60000258,127244,165063
3,timeout,60000209,134340,164765
4,timeout,60000240,135556,140921
5,timeout,60000192,242076,261428
6,timeout,60000266,188172,216243
7,timeout,60000229,213644,225372
8,timeout,60000173,198428,248007
9,timeout,60000172,169612,237209
10,timeout,60000264,252812,252029
11,timeout,60000223,141708,195989
12,timeout,60000235,244364,263152
13,timeout,60000176,149276,186342
14,timeout,60000246,152460,170831
15,timeout,60000297,343492,430196
16,timeout,60000219,242780,287304
17,timeout,60000227,240320,255718
18,timeout,60000211,232592,283074
19,timeout,60000225,126104,158093
20,timeout,60000191,159772,172688
21,timeout,60000219,695696,760076
22,timeout,60000296,112532,143611
23,timeout,60000192,302020,365178
24,timeout,60000193,204700,229907
25,timeout,60000238,85260,115553
26,timeout,60000217,118812,142334
27,timeout,60000295,126528,165930
28,timeout,60000297,254788,346963
29,timeout,60000184,192156,215264
30,timeout,60000301,284864,345315
31,timeout,60000249,131612,171914
32,timeout,60000171,275520,305824
33,timeout,60000185,228236,242780
34,timeout,60000131,256144,306592
35,timeout,60000213,84364,113839
36,timeout,60000274,154508,199111
37,timeout,60000162,296476,365980
38,timeout,60000240,229660,245912
39,timeout,60000183,177804,226092
40,timeout,60000201,125376,158933
41,timeout,60000218,117784,139784
42,timeout,60000223,378140,455201
43,timeout,60000168,286872,333288
44,timeout,60000202,261656,318991
45,timeout,60000226,387996,486723
46,timeout,60000192,230540,221014
47,timeout,60000209,208540,234169
48,timeout,60000215,329752,386034
49,timeout,60000206,127884,170621
50,timeout,60000181,147212,177785
51,timeout,60000182,160156,206537
52,timeout,60000231,181532,215128
53,timeout,60000207,196492,257856
54,timeout,60000213,197260,199949
55,timeout,60000239,108636,136027
56,timeout,60000220,130200,155528
57,timeout,60000238,279196,266734
58,timeout,60000198,95548,121666
59,timeout,60000607,218376,260210
60,timeout,60000169,155332,182461
61,timeout,60000304,166044,200651
62,timeout,60000187,280988,377874
63,timeout,60000199,344256,346670
64,timeout,60000200,145216,167845
65,timeout,60000228,323484,367335
66,timeout,60000215,216220,282084
67,timeout,60000216,286020,313724
68,timeout,60000274,223500,220055
69,timeout,60000169,278296,278575
70,timeout,60000205,392604,404533
71,timeout,60000217,225804,280565
72,timeout,60000201,175384,183993
73,timeout,60000262,202652,200362
74,timeout,60000262,148032,189625
75,timeout,60000198,190748,204509
76,timeout,60000191,189468,233999
77,timeout,60000215,202396,260862
78,timeout,60000188,170524,207963
79,timeout,60000195,267144,300964
80,timeout,60000259,132596,176444
81,timeout,60000220,157636,176379
82,timeout,60000159,159756,201505
83,timeout,60000216,425372,441929
84,timeout,60000277,105500,120605
85,timeout,60000249,83004,120101
86,timeout,60000240,101004,129011
87,timeout,60000213,252424,312642
88,timeout,60000254,179588,206034
89,timeout,60000183,91416,121680
90,timeout,60000776,384404,394040
91,timeout,60000302,124380,150601
92,timeout,60000203,284044,306626
93,timeout,60000186,259600,275882
94,timeout,60000198,333760,389661
95,timeout,60000207,226316,293728
96,timeout,60000152,165260,174853
97,timeout,60000205,203908,226384
98,timeout,60000198,349764,393420
99,timeout,60000163,205404,236982
100,timeout,60000155,475024,493863
