test,result,time (μs),memory (kb),clauses
1,timeout,60000126,17948,421
2,SAT,3734150,17948,421
3,timeout,60000240,18012,421
4,timeout,60000264,17948,421
5,timeout,60000205,17948,421
6,SAT,24077536,17948,421
7,timeout,60000170,17948,421
8,SAT,41000542,17948,421
9,timeout,60000188,17948,421
10,timeout,60000171,18012,421
11,SAT,588551,17948,421
12,SAT,28338929,17948,421
13,SAT,5133427,17948,421
14,timeout,60000185,17948,421
15,timeout,60000179,17948,421
16,SAT,49352601,17948,421
17,timeout,60000208,17948,421
18,SAT,366068,17948,421
19,SAT,29062775,17948,421
20,timeout,60000271,18012,421
21,timeout,60000173,18012,421
22,SAT,54562266,17948,421
23,timeout,60000129,17948,421
24,timeout,60000168,18012,421
25,timeout,60000216,17948,421
26,timeout,60000199,17948,421
27,timeout,60000182,17948,421
28,SAT,2181780,17948,421
29,SAT,41882299,17948,421
30,SAT,47885293,17948,421
31,timeout,60000253,17948,421
32,timeout,60000210,17948,421
33,timeout,60000219,17948,421
34,timeout,60000201,17948,421
35,timeout,60000168,17948,421
36,timeout,60000197,17948,421
37,timeout,60000303,17948,421
38,timeout,60000167,18012,421
39,timeout,60000205,17948,421
40,timeout,60000164,17948,421
41,SAT,28571106,17948,421
42,SAT,1904792,17948,421
43,timeout,60000417,17948,421
44,timeout,60000171,17948,421
45,timeout,60000240,17948,421
46,timeout,60000184,17948,421
47,timeout,60000242,17948,421
48,timeout,60000234,17948,421
49,SAT,1563285,17948,421
50,timeout,60000173,17948,421
51,SAT,11949889,17948,421
52,timeout,60000182,17948,421
53,timeout,60000170,17948,421
54,timeout,60000239,17948,421
55,SAT,22959364,17948,421
56,SAT,48402562,17948,421
57,SAT,31905573,17948,421
58,SAT,28072495,17948,421
59,timeout,60000239,17948,421
60,timeout,60000236,17948,421
61,SAT,10367791,17948,421
62,timeout,60000186,17948,421
63,timeout,60000195,17948,421
64,timeout,60000249,17948,421
65,SAT,9598365,17948,421
66,timeout,60000228,17948,420
67,timeout,60000141,17948,421
68,timeout,60000259,17948,421
69,SAT,37004950,17948,421
70,timeout,60000183,17948,421
71,SAT,13873990,17948,421
72,timeout,60000197,17948,421
73,timeout,60000148,17948,421
74,SAT,3562530,17948,421
75,timeout,60000229,17948,421
76,SAT,502901,18012,421
77,timeout,60000156,18012,421
78,timeout,60000189,17948,421
79,SAT,9435837,17948,421
80,SAT,167896,17948,421
81,timeout,60000195,17948,421
82,SAT,2382644,17948,420
83,SAT,10988536,17948,421
84,SAT,3842891,17948,421
85,SAT,10159319,17948,421
86,SAT,22851076,18012,421
87,SAT,16378884,17948,421
88,SAT,29525317,17948,421
89,timeout,60000223,17948,421
90,timeout,60000188,18012,421
91,SAT,5469668,17948,421
92,SAT,17736221,17948,421
93,timeout,60000200,17948,421
94,SAT,18696829,18012,420
95,SAT,2159213,17948,421
96,timeout,60000190,17948,420
97,SAT,2502644,17948,421
98,timeout,60000237,17948,421
99,timeout,60000174,17948,421
100,timeout,60000165,18012,421
