test,result,time (μs),memory (kb),clauses
1,timeout,60000468,263724,306910
2,timeout,60000175,114828,148116
3,timeout,60000222,177716,207219
4,timeout,60000256,124944,130839
5,timeout,60000230,235212,254875
6,timeout,60000154,202128,229984
7,timeout,60000191,211472,223165
8,timeout,60000205,177024,222539
9,timeout,60000221,162832,227916
10,timeout,60000213,254336,254032
11,timeout,60000235,119312,164419
12,timeout,60000189,250240,269399
13,timeout,60000172,155728,194955
14,timeout,60000285,154936,173123
15,timeout,60000231,276992,353896
16,timeout,60000203,198424,242432
17,timeout,60000198,259328,274751
18,timeout,60000492,166864,209876
19,timeout,60000225,132352,166305
20,timeout,60000171,169088,181985
21,timeout,60000198,684944,751994
22,timeout,60000159,109904,140792
23,timeout,60000212,231132,284982
24,timeout,60000201,220304,245890
25,timeout,60000189,85628,115847
26,timeout,60000213,108928,130727
27,timeout,60000227,122632,161443
28,timeout,60000159,251704,343037
29,timeout,60000217,181172,200871
30,timeout,60000170,284472,345225
31,timeout,60000170,134032,175857
32,timeout,60000170,244916,274256
33,timeout,60000205,213888,228784
34,timeout,60000176,236260,281877
35,timeout,60000214,81464,111747
36,timeout,60000195,143792,185839
37,timeout,60000184,285712,352523
38,timeout,60000196,241152,256831
39,timeout,60000230,90640,123072
40,timeout,60000204,116736,149368
41,timeout,60000185,108852,129518
42,timeout,60000159,420880,507852
43,timeout,60000185,261304,304870
44,timeout,60000202,230836,291985
45,timeout,60000173,347392,439621
46,timeout,60000171,234128,225724
47,timeout,60000186,198160,223174
48,timeout,60000175,367056,427514
49,timeout,60672402,123352,165144
50,timeout,60000179,129048,156767
51,timeout,60000204,173200,224197
52,timeout,60000192,173200,206289
53,timeout,60000160,189368,247372
54,timeout,60000187,220688,221906
55,timeout,60000181,126848,158867
56,timeout,60000216,122496,147228
57,timeout,60000696,251264,242693
58,timeout,60000199,97588,124319
59,timeout,60000197,204288,245221
60,timeout,60000211,150784,178065
61,timeout,60000212,156672,191719
62,timeout,60000200,235668,319048
63,timeout,60000187,319632,324983
64,timeout,60000194,132880,155309
65,timeout,60000176,275072,313747
66,timeout,60000205,197772,258624
67,timeout,60000215,316800,347120
68,timeout,60000160,166012,180171
69,timeout,60000224,306576,303850
70,timeout,60000173,386040,399883
71,timeout,60000206,240000,298209
72,timeout,60000192,178960,187671
73,timeout,60000125,231056,225960
74,timeout,60000227,156928,200212
75,timeout,60000172,179256,192832
76,timeout,60000159,198672,244809
77,timeout,60000256,248704,317835
78,timeout,60000165,155444,191831
79,timeout,60000215,248704,281518
80,timeout,60000299,136704,181545
81,timeout,60000186,142208,156966
82,timeout,60000185,166912,210899
83,timeout,60000167,473472,491781
84,timeout,60000242,107920,121545
85,timeout,60000246,74808,109330
86,timeout,60000173,119348,149998
87,timeout,60000174,250420,310271
88,timeout,60000194,170804,196471
89,timeout,60000208,85772,114203
90,timeout,60000210,492340,504501
91,timeout,60000270,202752,200147
92,timeout,60000178,263952,285782
93,timeout,60000205,260352,277171
94,timeout,60000228,368512,423683
95,timeout,60000194,195408,258791
96,timeout,60000151,157068,166502
97,timeout,60000196,189712,210669
98,timeout,60000183,346752,390311
99,timeout,60000179,202128,233552
100,timeout,60000174,503352,519878
