test,result,time (μs),memory (kb),clauses
1,timeout,60000149,18364,993
2,timeout,60000273,18364,993
3,timeout,60000200,18364,993
4,timeout,60000222,18364,993
5,timeout,60000220,18364,993
6,timeout,60000163,18364,993
7,timeout,60000196,18364,993
8,timeout,60000175,18364,993
9,timeout,60000200,18364,993
10,timeout,60000180,18364,993
11,timeout,60000331,18364,993
12,timeout,60000168,18364,993
13,timeout,60000180,18364,993
14,timeout,60000242,18364,993
15,timeout,60000202,18364,993
16,timeout,60000194,18364,993
17,timeout,60000217,18364,993
18,timeout,60000225,18364,993
19,timeout,60000185,18364,993
20,timeout,60000236,18364,993
21,timeout,60000219,18364,993
22,timeout,60000234,18364,993
23,timeout,60000214,18364,993
24,timeout,60000192,18364,993
25,timeout,60000438,18364,993
26,timeout,60000267,18364,993
27,timeout,60000226,18364,993
28,timeout,60000222,18364,993
29,timeout,60000444,18364,993
30,timeout,60000468,18364,993
31,timeout,60000233,18364,993
32,timeout,60000219,18364,993
33,timeout,60000193,18364,993
34,timeout,60000192,18364,993
35,timeout,60000206,18364,993
36,timeout,60000230,18364,993
37,timeout,60000193,18364,993
38,timeout,60000208,18364,993
39,timeout,60000162,18364,993
40,timeout,60000226,18364,993
41,timeout,60000218,18364,993
42,timeout,60000165,18364,993
43,timeout,60000207,18364,993
44,timeout,60000195,18364,993
45,timeout,60000175,18364,993
46,timeout,60000255,18364,993
47,timeout,60000172,18364,993
48,timeout,60000166,18364,993
49,timeout,60000183,18364,993
50,timeout,60000160,18364,993
51,timeout,60000201,18364,993
52,timeout,60000214,18364,993
53,timeout,60000241,18364,993
54,timeout,60000187,18364,993
55,timeout,60000172,18364,993
56,timeout,60000201,18364,992
57,timeout,60000212,18364,993
58,timeout,60000216,18364,993
59,timeout,60000431,18364,993
60,timeout,60000180,18364,993
61,timeout,60000207,18364,993
62,timeout,60000238,18364,993
63,timeout,60000192,18364,993
64,timeout,60000148,18364,993
65,timeout,60000253,18364,993
66,timeout,60000187,18364,993
67,timeout,60000196,18364,993
68,timeout,60000244,18364,993
69,timeout,60000170,18364,993
70,timeout,60000275,18364,993
71,timeout,60000168,18364,993
72,timeout,60000413,18364,993
73,timeout,60000183,18364,993
74,timeout,60000189,18364,993
75,timeout,60000185,18364,993
76,timeout,60000264,18364,993
77,timeout,60000169,18364,993
78,timeout,60000248,18364,993
79,timeout,60000397,18364,993
80,timeout,60000190,18364,993
81,timeout,60000178,18364,993
82,timeout,60000216,18364,993
83,timeout,60000213,18364,993
84,timeout,60000123,18364,993
85,timeout,60000186,18364,993
86,timeout,60000198,18364,993
87,timeout,60000270,18364,993
88,timeout,60000174,18364,993
89,timeout,60000232,18364,993
90,timeout,60000212,18364,993
91,timeout,60000209,18364,993
92,timeout,60000201,18364,993
93,timeout,60000239,18364,993
94,timeout,60000186,18364,993
95,timeout,60000203,18364,993
96,timeout,60000185,18364,993
97,timeout,60000263,18364,993
98,timeout,60000417,18364,993
99,timeout,60000182,18364,993
100,timeout,60000210,18364,993
