test,result,time (μs),memory (kb),clauses
1,timeout,60000213,590868,519753
2,timeout,60000215,341968,259423
3,timeout,60000195,476900,413304
4,timeout,60000188,607756,525948
5,timeout,60000185,379788,330033
6,timeout,60000230,332944,256619
7,timeout,60000178,314920,289077
8,timeout,60000296,744600,630554
9,timeout,60000176,406308,304699
10,timeout,60000192,528908,449393
11,timeout,60000161,437912,405163
12,timeout,60927964,504472,379015
13,timeout,60000238,297364,264236
14,timeout,60000170,307084,263185
15,timeout,60000203,804120,605361
16,timeout,60000237,662936,489130
17,timeout,60000200,365860,330068
18,timeout,60000233,415512,347535
19,timeout,60000177,449424,397733
20,timeout,60000168,343692,278017
21,timeout,60000254,486568,418307
22,timeout,60000231,305048,289371
23,timeout,60000182,363672,377811
24,timeout,60000224,500840,401061
25,timeout,60000175,476516,370136
26,timeout,60000205,498316,416559
27,timeout,60000176,671332,593333
28,timeout,60000272,337804,328453
29,timeout,60000175,344164,314366
30,timeout,60000225,503448,444571
31,timeout,60000161,405772,341586
32,timeout,60000221,444120,418569
33,timeout,60000214,475752,426010
34,timeout,60000192,495384,415211
35,timeout,60000222,419724,360001
36,timeout,60000196,471192,383091
37,timeout,60000186,321508,266779
38,timeout,60000155,358632,292134
39,timeout,60000208,514020,420761
40,timeout,60000170,301156,262087
41,timeout,60000195,480740,343793
42,timeout,60000174,492520,368271
43,timeout,60000200,271208,264440
44,timeout,60000227,444696,386756
45,timeout,60000197,562024,471658
46,timeout,60000203,508264,438342
47,timeout,60000205,608228,478965
48,timeout,60000197,366820,333936
49,timeout,60000173,455848,416221
50,timeout,60000158,487192,426743
51,timeout,60000218,344216,331154
52,timeout,60000204,468004,395622
53,timeout,60000205,504616,452277
54,timeout,60000192,272100,232210
55,timeout,60000258,500708,441543
56,timeout,60000178,328596,308361
57,timeout,60000198,406692,353897
58,timeout,60000214,250728,262227
59,timeout,60000191,265572,239989
60,timeout,60000166,386984,357215
61,timeout,60000177,344088,293639
62,timeout,60000174,394472,352947
63,timeout,60000206,377320,315385
64,timeout,60000172,566116,463962
65,timeout,60000226,496168,465639
66,timeout,60000258,453268,402729
67,timeout,60000187,294244,266775
68,timeout,60000213,309608,281389
69,timeout,60000198,348952,347825
70,timeout,60000213,548580,450376
71,timeout,60000193,495844,451902
72,timeout,60000199,623272,439707
73,timeout,60000844,537496,423078
74,timeout,60000208,504472,396801
75,timeout,60000200,630248,545872
76,timeout,60000232,474596,397109
77,timeout,60000189,511256,449832
78,timeout,60000229,430872,388264
79,timeout,60000191,437672,358221
80,timeout,60000225,463508,392299
81,timeout,60000201,388580,356286
82,timeout,60000210,313000,255529
83,timeout,60000187,547304,473104
84,timeout,60000175,394344,289668
85,timeout,60000203,302564,239748
86,timeout,60000228,338712,304696
87,timeout,60000195,558052,446967
88,timeout,60000183,395364,388016
89,timeout,60000164,205080,188671
90,timeout,60000200,373272,324514
91,timeout,60000192,418384,373964
92,timeout,60000193,625944,567827
93,timeout,60000263,560792,496089
94,timeout,60000164,571800,482819
95,timeout,60000221,380904,330023
96,timeout,60000173,504216,387082
97,timeout,60000207,753448,575925
98,timeout,60000199,429720,409737
99,timeout,60000211,568216,512147
100,timeout,60000199,382476,342666
