test,result,time (μs),memory (kb),clauses
1,timeout,60000233,546736,484622
2,timeout,60000219,330956,252328
3,timeout,60000178,478304,414540
4,timeout,60000170,624676,539728
5,timeout,60000228,329812,290133
6,timeout,60000200,337508,259637
7,timeout,60000955,299264,274342
8,timeout,60000194,773868,650095
9,timeout,60000190,421408,316319
10,timeout,60000177,535904,454817
11,timeout,60000233,399060,371631
12,timeout,60000381,498640,375273
13,timeout,60000269,268640,240293
14,timeout,60000189,305032,261600
15,timeout,60000187,789216,595574
16,timeout,60000260,623268,460829
17,timeout,60000192,356232,322328
18,timeout,60000186,382472,320669
19,timeout,60000169,433032,384050
20,timeout,60000197,347692,281168
21,timeout,60000192,413792,357289
22,timeout,60000216,282604,270027
23,timeout,60000230,369764,383685
24,timeout,60000174,503396,403036
25,timeout,60000209,567892,437262
26,timeout,60000195,512336,428385
27,timeout,60000181,660744,584537
28,timeout,60000222,305124,300361
29,timeout,60000238,317444,290055
30,timeout,60000171,440292,396904
31,timeout,60000179,344868,293410
32,timeout,60000235,350432,334408
33,timeout,60000173,420308,380367
34,timeout,60000198,510844,427247
35,timeout,60000190,424452,363497
36,timeout,60000174,470564,382631
37,timeout,60000170,314800,262324
38,timeout,60000199,336096,275041
39,timeout,60000173,499924,409518
40,timeout,60000209,263648,235677
41,timeout,60000251,479412,343287
42,timeout,60000207,542284,403714
43,timeout,60000287,265396,259837
44,timeout,60000216,420148,366265
45,timeout,60000177,559536,470125
46,timeout,60000192,468308,404132
47,timeout,60000263,524384,421009
48,timeout,60000216,378448,344375
49,timeout,60000181,445160,407455
50,timeout,60000179,493416,431244
51,timeout,60000192,373512,359268
52,timeout,60000206,443220,376622
53,timeout,60000204,464592,418315
54,timeout,60000186,269916,230653
55,timeout,60000172,508644,448016
56,timeout,60000179,342532,319861
57,timeout,60000193,353748,309847
58,timeout,60000253,299476,310291
59,timeout,60000177,247008,224953
60,timeout,60000207,377444,349039
61,timeout,60000184,340452,290586
62,timeout,60000172,411368,366727
63,timeout,60000229,356944,299509
64,timeout,60000192,594228,485224
65,timeout,60000181,502024,471297
66,timeout,60000439,454720,403953
67,timeout,60000175,282308,256212
68,timeout,60000182,330376,299816
69,timeout,60000221,331220,332154
70,timeout,60000143,648020,524239
71,timeout,60000196,483924,442495
72,timeout,60000224,536072,373743
73,timeout,60000159,537312,422794
74,timeout,60000204,466836,370557
75,timeout,60000164,563168,493927
76,timeout,60000218,470100,393838
77,timeout,60000184,531284,467424
78,timeout,60000168,396128,357663
79,timeout,60000152,482784,394359
80,timeout,60000181,442952,376770
81,timeout,60000271,400820,368517
82,timeout,60000197,342404,278894
83,timeout,60000192,548644,474325
84,timeout,60000182,381440,279714
85,timeout,60000189,283276,224781
86,timeout,60000281,338020,304032
87,timeout,60000241,481748,392058
88,timeout,60000214,353504,346088
89,timeout,60000215,185428,172398
90,timeout,60000367,384468,332720
91,timeout,60000197,418644,374569
92,timeout,60000212,607848,552688
93,timeout,60000235,650464,565405
94,timeout,60000197,588132,495207
95,timeout,60000249,302900,262692
96,timeout,60000165,557824,423579
97,timeout,60000236,773972,590096
98,timeout,60000220,516064,486036
99,timeout,60000199,579152,520882
100,timeout,60000190,385928,345507
