test,result,time (μs),memory (kb),clauses
1,timeout,60000177,18260,994
2,timeout,60000178,18260,994
3,SAT,33640907,18260,994
4,timeout,60000169,18260,994
5,timeout,60000226,18260,994
6,timeout,60000154,18260,994
7,timeout,60000191,18260,994
8,timeout,60000204,18260,994
9,SAT,47244374,18260,994
10,timeout,60000154,18260,994
11,SAT,12746080,18260,994
12,timeout,60000209,18260,994
13,SAT,6635045,18260,994
14,timeout,60000186,18260,994
15,SAT,777302,18260,994
16,timeout,60000187,18260,994
17,timeout,60000267,18260,994
18,timeout,60000163,18260,994
19,timeout,60000212,18260,994
20,timeout,60000179,18260,994
21,timeout,60000148,18260,994
22,timeout,60000247,18260,994
23,timeout,60000275,18260,994
24,timeout,60000162,18260,994
25,timeout,60000264,18260,994
26,timeout,60000203,18260,994
27,timeout,60000247,18260,994
28,timeout,60000229,18260,994
29,timeout,60000183,18260,994
30,timeout,60000160,18260,994
31,SAT,3290484,18260,994
32,SAT,56649927,18260,994
33,timeout,60000269,18260,994
34,timeout,60000163,18260,994
35,SAT,469006,18260,994
36,timeout,60000187,18260,994
37,timeout,60000197,18260,994
38,timeout,60000133,18260,994
39,timeout,60000158,18260,994
40,timeout,60000166,18260,994
41,timeout,60000196,18260,994
42,timeout,60000206,18260,994
43,timeout,60000169,18260,994
44,timeout,60000226,18260,994
45,SAT,50587498,18260,994
46,timeout,60000161,18260,994
47,timeout,60000158,18260,994
48,timeout,60000162,18260,994
49,timeout,60000270,18260,994
50,timeout,60000181,18260,994
51,timeout,60000264,18260,994
52,timeout,60000192,18260,994
53,timeout,60000183,18260,994
54,timeout,60000162,18260,994
55,timeout,60000233,18260,994
56,timeout,60000205,18260,994
57,SAT,6105319,18260,994
58,SAT,1544796,18260,994
59,timeout,60000163,18260,994
60,timeout,60000238,18260,994
61,timeout,60000162,18260,994
62,timeout,60000172,18260,994
63,SAT,124166,18260,994
64,timeout,60000192,18260,994
65,timeout,60000187,18260,994
66,timeout,60000221,18260,994
67,SAT,5446223,18260,994
68,timeout,60000188,18260,994
69,SAT,8869954,18260,994
70,timeout,60000164,18260,994
71,timeout,60000177,18260,994
72,timeout,60000208,18260,994
73,timeout,60000167,18260,994
74,timeout,60000202,18260,994
75,SAT,8259836,18260,994
76,timeout,60000197,18260,994
77,SAT,8308250,18260,994
78,timeout,60000172,18260,994
79,SAT,8237662,18260,994
80,timeout,60000200,18260,994
81,timeout,60000149,18260,994
82,timeout,60000228,18260,994
83,timeout,60000192,18260,994
84,SAT,1774374,18260,994
85,SAT,3008511,18260,994
86,timeout,60000168,18260,994
87,timeout,60000169,18260,994
88,SAT,964182,18260,994
89,SAT,3373934,18260,994
90,timeout,60000166,18260,994
91,timeout,60000224,18260,994
92,timeout,60000185,18260,994
93,SAT,16183930,18260,994
94,SAT,48173474,18260,994
95,timeout,60000208,18260,994
96,timeout,60000176,18260,994
97,timeout,60000194,18260,994
98,timeout,60000207,18260,994
99,timeout,60000169,18260,994
100,timeout,60000216,18260,994
