test,result,time (μs),memory (kb),clauses
1,timeout,60000234,20560,2107
2,timeout,60000179,20220,2107
3,timeout,60000213,20468,2107
4,timeout,60000180,19592,2107
5,timeout,60000201,19744,2107
6,timeout,60000173,20044,2107
7,timeout,60000149,19872,2107
8,timeout,60999639,19916,2107
9,timeout,60000177,20872,2107
10,timeout,60000175,18964,2107
11,timeout,60000234,20868,2107
12,timeout,60000204,20052,2107
13,timeout,60000232,21280,2107
14,timeout,60000245,20300,2107
15,timeout,60000166,20736,2107
16,timeout,60000198,20352,2107
17,timeout,60000156,19812,2107
18,timeout,60000238,19744,2107
19,timeout,60000223,20308,2107
20,timeout,60000163,20540,2107
21,timeout,60000190,20940,2107
22,timeout,60000214,19872,2107
23,timeout,60000201,20864,2107
24,timeout,60000199,19700,2107
25,timeout,60000183,19952,2107
26,timeout,60000185,20128,2107
27,timeout,60000226,20128,2107
28,timeout,60000170,20000,2107
29,timeout,60000219,20692,2107
30,timeout,60000253,20756,2107
31,timeout,60000580,20616,2107
32,timeout,60000180,20428,2107
33,timeout,60000215,20616,2107
34,timeout,60000170,20732,2107
35,timeout,60000198,20896,2107
36,timeout,60000166,20740,2107
37,timeout,60000186,19860,2107
38,timeout,60000202,19436,2107
39,timeout,60000182,20492,2107
40,timeout,60000432,20116,2107
41,timeout,60000181,20640,2107
42,timeout,60000180,20512,2107
43,timeout,60000181,19872,2107
44,timeout,60000179,20616,2107
45,timeout,60000203,20516,2107
46,timeout,60000171,20372,2107
47,timeout,60000240,20624,2107
48,timeout,60000188,19232,2107
49,timeout,60000161,20520,2107
50,timeout,60000191,20684,2107
51,timeout,60000188,20128,2107
52,timeout,60000209,19972,2107
53,timeout,60000185,20324,2107
54,timeout,60000171,20104,2107
55,timeout,60000207,20360,2107
56,timeout,60000189,20872,2107
57,timeout,60000232,19920,2107
58,timeout,60000239,20288,2107
59,timeout,60000197,20808,2107
60,timeout,60000227,20628,2107
61,timeout,60000182,20384,2107
62,timeout,60000207,19476,2107
63,timeout,60000179,19744,2107
64,timeout,60000157,19672,2107
65,timeout,60000213,20716,2107
66,timeout,60000237,19040,2107
67,timeout,60000211,18336,2107
68,timeout,60000153,20256,2107
69,timeout,60000158,20520,2107
70,timeout,60000184,19712,2107
71,timeout,60000198,19756,2107
72,timeout,60000213,19536,2107
73,timeout,60000225,20796,2107
74,timeout,60000201,19564,2107
75,timeout,60000431,19976,2107
76,timeout,60000402,19428,2107
77,timeout,60000213,19616,2107
78,timeout,60000216,20692,2107
79,timeout,60000185,20096,2107
80,timeout,60000230,20272,2107
81,timeout,60000192,21000,2107
82,timeout,60000215,20248,2107
83,timeout,60000202,20324,2107
84,timeout,60000192,20736,2107
85,timeout,60000212,19948,2107
86,timeout,60000227,20232,2107
87,timeout,60000200,20744,2107
88,timeout,60000233,20144,2107
89,timeout,60000223,20412,2107
90,timeout,60000229,20424,2107
91,timeout,60000175,20488,2107
92,timeout,60000188,19488,2107
93,timeout,60000201,20488,2107
94,timeout,60000181,19184,2107
95,timeout,60000217,20380,2107
96,timeout,60000214,18848,2107
97,timeout,60000204,20384,2107
98,timeout,60000184,20640,2107
99,timeout,60000179,20840,2107
100,timeout,60000220,19948,2107
