test,result,time (μs),memory (kb),clauses
1,timeout,60000192,20708,2108
2,timeout,60000195,21444,2108
3,timeout,60000150,21104,2108
4,SAT,14156821,20908,2108
5,SAT,706312,20624,2108
6,timeout,60000181,21736,2108
7,timeout,60000198,21060,2108
8,timeout,60000173,20264,2108
9,timeout,60000208,20760,2108
10,timeout,60000179,20476,2108
11,timeout,60000202,21000,2108
12,timeout,60000173,20924,2108
13,timeout,60000177,21312,2108
14,timeout,60000177,20700,2108
15,timeout,60000174,20808,2108
16,timeout,60000278,20848,2108
17,timeout,60000159,21180,2108
18,timeout,60000210,20792,2108
19,timeout,60000175,21196,2108
20,timeout,60000217,21264,2108
21,timeout,60000174,20428,2108
22,timeout,60000228,20112,2108
23,timeout,60000178,20400,2108
24,timeout,60000180,21212,2108
25,timeout,60000192,20772,2108
26,timeout,60000212,21228,2108
27,timeout,60000170,20840,2108
28,timeout,60000171,20704,2108
29,timeout,60000185,20312,2108
30,timeout,60000179,21388,2108
31,timeout,60000188,20552,2108
32,timeout,60000197,20712,2108
33,timeout,60000197,20904,2108
34,timeout,60000201,20860,2108
35,timeout,60000182,20340,2108
36,timeout,60000188,21076,2108
37,timeout,60000211,21144,2108
38,timeout,60000187,19864,2108
39,timeout,60000186,19868,2108
40,timeout,60000201,20164,2108
41,timeout,60000197,21232,2108
42,timeout,60000190,21264,2108
43,timeout,60000204,21036,2108
44,timeout,60000223,20412,2108
45,timeout,60000197,21092,2108
46,timeout,60000179,21628,2108
47,timeout,60000189,21004,2108
48,timeout,60000198,20800,2108
49,timeout,60000177,20772,2108
50,timeout,60000190,20816,2108
51,timeout,60000199,20996,2108
52,timeout,60000168,21300,2108
53,timeout,60000184,21240,2108
54,timeout,60000191,20484,2108
55,timeout,60000171,21096,2108
56,timeout,60000170,20868,2108
57,timeout,60000196,20488,2108
58,timeout,60000191,21408,2108
59,timeout,60000197,21036,2108
60,timeout,60000177,20780,2108
61,timeout,60000303,21020,2108
62,timeout,60000176,21392,2108
63,timeout,60000185,20988,2108
64,timeout,60000176,21184,2108
65,timeout,60000190,20776,2108
66,timeout,60000186,20836,2108
67,timeout,60000185,20556,2108
68,timeout,60000230,20416,2108
69,timeout,60000194,21496,2108
70,SAT,45319975,20928,2108
71,timeout,60000254,20692,2108
72,timeout,60000237,20820,2108
73,timeout,60000223,20180,2108
74,timeout,60000268,21044,2108
75,timeout,60000193,20752,2108
76,timeout,60000182,20820,2108
77,timeout,60000190,20588,2108
78,timeout,60000179,21104,2108
79,timeout,60000199,20364,2108
80,timeout,60000188,21348,2108
81,timeout,60000179,20604,2108
82,timeout,60000267,21164,2108
83,timeout,60000202,21456,2108
84,timeout,60000156,21180,2108
85,timeout,60000302,20652,2108
86,timeout,60000208,21580,2108
87,timeout,60000200,21620,2108
88,timeout,60000177,20636,2108
89,timeout,60000203,20332,2108
90,timeout,60000192,21204,2108
91,timeout,60000181,20076,2108
92,timeout,60000174,20524,2108
93,SAT,8830602,20104,2108
94,timeout,60000200,20248,2108
95,timeout,60000202,20508,2108
96,timeout,60000202,20772,2108
97,timeout,60000185,21448,2108
98,timeout,60000167,21780,2108
99,timeout,60000185,19736,2108
100,timeout,60000198,21108,2108
