test,result,time (μs),memory (kb),clauses
1,timeout,60000195,573160,443218
2,timeout,60000210,653372,506194
3,timeout,60000219,606820,418774
4,timeout,60000217,618392,466651
5,timeout,60000173,846092,578909
6,timeout,60000240,593684,428214
7,timeout,60000195,588516,413320
8,timeout,60000193,947368,662729
9,timeout,60000185,578584,470387
10,timeout,60000195,627864,439959
11,timeout,60000178,626216,443870
12,timeout,60000185,703568,520442
13,timeout,60000210,701928,530748
14,timeout,60000197,672100,461333
15,timeout,60000418,776548,528055
16,timeout,60000213,543180,430682
17,timeout,60000226,603672,451349
18,timeout,60000184,735208,537790
19,timeout,60000191,559384,404241
20,timeout,60000159,721688,510447
21,timeout,60000203,693732,537342
22,timeout,60000203,754512,555071
23,timeout,60000433,486028,365265
24,timeout,60000162,931352,597788
25,timeout,60000185,748056,463262
26,timeout,60000203,995688,663983
27,timeout,60000177,680336,543714
28,timeout,60000193,791576,528593
29,timeout,60000193,644068,438049
30,timeout,60000445,725964,519738
31,timeout,60000203,541076,369403
32,timeout,60000195,709348,527754
33,timeout,60000188,665700,475298
34,timeout,60000229,495128,382248
35,timeout,60000189,470288,354252
36,timeout,60000186,927332,679801
37,timeout,60000194,610828,420256
38,timeout,60000204,664472,487752
39,timeout,60000175,941464,663536
40,timeout,60000231,677004,474538
41,timeout,60000190,419916,323433
42,timeout,60000154,714984,518714
43,timeout,60000226,748516,528219
44,timeout,60000170,460568,369652
45,timeout,60000456,822936,543297
46,timeout,60000180,655844,397475
47,timeout,60000172,411880,323576
48,timeout,60000195,890904,624888
49,timeout,60000197,622744,448884
50,timeout,60000191,710632,466694
51,timeout,60000188,696216,451971
52,timeout,60000218,508440,397136
53,timeout,60000224,644196,476795
54,timeout,60000432,535140,379764
55,timeout,60000848,791448,527883
56,timeout,60000166,708248,526573
57,timeout,60000170,736792,536648
58,timeout,60000180,721892,555189
59,timeout,60000198,650856,442054
60,timeout,60000234,588696,435603
61,timeout,60000182,742296,523059
62,timeout,60000196,677476,459646
63,timeout,60000193,572624,476668
64,timeout,60000222,740964,484020
65,timeout,60000176,859240,642760
66,timeout,60000225,468840,374815
67,timeout,60000167,429208,318103
68,timeout,60000187,838760,614566
69,timeout,60000216,854552,666820
70,timeout,60000218,856088,664803
71,timeout,60000183,679832,566080
72,timeout,60000211,387300,328280
73,timeout,60000182,1067032,767281
74,timeout,60000215,879896,584568
75,timeout,60000231,788712,548756
76,timeout,60000192,847384,579061
77,timeout,60000226,777168,552036
78,timeout,60000181,645784,458334
79,timeout,60000167,875620,654884
80,timeout,60000163,635364,423381
81,timeout,60000200,599592,383823
82,timeout,60000172,733848,549432
83,timeout,60000184,876776,607154
84,timeout,60000232,592100,415079
85,timeout,60000178,790756,556704
86,timeout,60000244,584344,399693
87,timeout,60000161,747660,620262
88,timeout,60000199,713880,520790
89,timeout,60000212,632344,457381
90,timeout,60000199,797464,577209
91,timeout,60000190,560592,442942
92,timeout,60000200,605720,430811
93,timeout,60000207,561560,402644
94,timeout,60000195,711576,506388
95,timeout,60000197,764044,526217
96,timeout,60000197,679632,514827
97,timeout,60000183,774248,573901
98,timeout,60000193,979864,633676
99,timeout,60000177,1037516,716832
100,timeout,60000180,783400,584132
