test,result,time (μs),memory (kb),clauses
1,timeout,60000206,595752,460348
2,timeout,60000167,662244,513372
3,timeout,60000310,605456,418092
4,timeout,60000178,534116,405864
5,timeout,60000174,892568,607764
6,timeout,60000259,574488,416092
7,timeout,60000204,596580,419114
8,timeout,60000230,975076,679243
9,timeout,60000167,595468,484489
10,timeout,60000167,666380,465558
11,timeout,60000208,638360,451799
12,timeout,60000259,606180,445384
13,timeout,60000183,712936,539075
14,timeout,60000217,711524,487553
15,timeout,60000181,793444,538884
16,timeout,60000155,598680,471207
17,timeout,60000170,531300,399101
18,timeout,60000189,750568,548217
19,timeout,60000183,509976,369196
20,timeout,60000241,756324,530945
21,timeout,60000195,708708,548156
22,timeout,60000180,761624,560445
23,timeout,60000181,485132,364897
24,timeout,60000284,943076,605070
25,timeout,60000185,694168,432139
26,timeout,60000184,1031064,685919
27,timeout,60000159,689384,549983
28,timeout,60000189,803880,536250
29,timeout,60000205,671640,456964
30,timeout,60000229,745240,533119
31,timeout,60000414,561420,383695
32,timeout,60000187,734220,543652
33,timeout,60000202,689020,490395
34,timeout,60000162,483176,373507
35,timeout,60000194,400720,308009
36,timeout,60000186,932004,683060
37,timeout,60000194,523032,362355
38,timeout,60000159,688552,503517
39,timeout,60000190,900200,637043
40,timeout,60000195,653080,459582
41,timeout,60000477,429068,329475
42,timeout,60000193,652260,478569
43,timeout,60000157,767592,541326
44,timeout,60000178,464664,373097
45,timeout,60000195,705804,465480
46,timeout,60000197,604172,369881
47,timeout,60000177,410392,322792
48,timeout,60000207,750224,530767
49,timeout,60000225,636008,457419
50,timeout,60000310,578072,388538
51,timeout,60000213,649048,421682
52,timeout,60000199,519908,405235
53,timeout,60000205,609000,451021
54,timeout,60000195,456336,326554
55,timeout,60000263,741860,497670
56,timeout,60000228,612496,459590
57,timeout,60000156,760460,553603
58,timeout,60000197,747032,572734
59,timeout,60000202,666084,451598
60,timeout,60000188,532904,394535
61,timeout,60000238,763672,537333
62,timeout,60000253,539416,373221
63,timeout,60000170,580120,483179
64,timeout,60000252,651788,431228
65,timeout,60000177,878860,655312
66,timeout,60000277,395916,320721
67,timeout,60000199,433944,321510
68,timeout,60000194,812860,596974
69,timeout,60000193,776984,611219
70,timeout,60000210,921384,709526
71,timeout,60000204,604056,506127
72,timeout,60000186,395368,335755
73,timeout,60000183,912292,665203
74,timeout,60000443,920204,608824
75,timeout,60000193,784484,546129
76,timeout,60000230,855576,584352
77,timeout,60000514,741264,528163
78,timeout,60000176,622180,442344
79,timeout,60000183,924824,688555
80,timeout,60000249,650468,432900
81,timeout,60000223,523108,336331
82,timeout,60000163,653328,492906
83,timeout,60000207,847896,592208
84,timeout,60000173,615272,430189
85,timeout,60000174,816360,574223
86,timeout,60000177,604556,412284
87,timeout,60000188,782820,647538
88,timeout,60000206,714392,521286
89,timeout,60000222,636136,459773
90,timeout,60000488,726628,534455
91,timeout,60000221,576168,454702
92,timeout,60000227,632292,448039
93,timeout,60000230,579428,413664
94,timeout,60000203,700440,499404
95,timeout,60000188,666600,465729
96,timeout,60000189,594712,452968
97,timeout,60000413,808036,594878
98,timeout,60000205,907364,590989
99,timeout,60000190,903192,638692
100,timeout,60000197,838808,622292
