test,result,time (μs),memory (kb),clauses
1,timeout,60000187,131368,145161
2,timeout,60000665,173316,208751
3,timeout,60000181,208768,238774
4,timeout,60000362,112640,134210
5,timeout,60000263,275456,341453
6,timeout,60000196,162740,195085
7,timeout,60000173,308736,357728
8,timeout,60000470,190440,227922
9,timeout,60000233,159744,159308
10,timeout,60000442,215400,290180
11,timeout,60000156,177332,218881
12,timeout,60000275,687668,753359
13,timeout,60000398,329140,397061
14,timeout,60000235,120748,157599
15,timeout,60000150,260612,273989
16,timeout,60000457,312372,374286
17,timeout,60000470,474804,601193
18,timeout,60000206,360876,447750
19,timeout,60000218,95488,119514
20,timeout,60000197,209152,280709
21,timeout,60000246,160052,188600
22,timeout,60000199,102580,132638
23,timeout,60000401,625536,741584
24,timeout,60000155,195268,237166
25,timeout,60000240,167600,208501
26,timeout,60000199,250024,338711
27,timeout,60000165,192768,241203
28,timeout,60000437,150248,200844
29,timeout,60000372,480640,541059
30,timeout,60000206,187944,225329
31,timeout,60000510,277928,322596
32,timeout,60000457,149424,176749
33,timeout,60000204,88296,108670
34,timeout,60000172,163120,182834
35,timeout,60000260,180904,177655
36,timeout,60000405,133424,161587
37,timeout,60000377,131380,156142
38,timeout,60000634,234948,291127
39,timeout,60000191,225280,262834
40,timeout,60000443,285748,346856
41,timeout,60000245,254852,226212
42,timeout,60000428,246020,248597
43,timeout,60000206,307764,335585
44,timeout,60000369,207144,270019
45,timeout,60000240,202036,225186
46,timeout,60000181,149300,184752
47,timeout,60000231,178564,236911
48,timeout,60000186,224512,223404
49,timeout,60000177,210792,238143
50,timeout,60000230,390184,504790
51,timeout,60000251,199604,239173
52,timeout,60000213,264296,318229
53,timeout,60000209,159044,203674
54,timeout,60000579,346496,445086
55,timeout,60000213,124584,171827
56,timeout,60000359,169856,177103
57,timeout,60000193,121088,156288
58,timeout,60000204,465832,475779
59,timeout,60000224,380288,437420
60,timeout,60000159,166708,178247
61,timeout,60000213,221444,309432
62,timeout,60000198,152960,181573
63,timeout,60000181,239144,248997
64,timeout,60000152,258344,327733
65,timeout,60000191,554624,639294
66,timeout,60000182,140928,201428
67,timeout,60000198,297604,357867
68,timeout,60000291,284212,356891
69,timeout,60000507,248116,268304
70,timeout,60000461,284032,376603
71,timeout,60000437,142132,184815
72,timeout,60000548,724276,789005
73,timeout,60000500,215680,278423
74,timeout,60000589,167040,208192
75,timeout,60000229,188356,244101
76,timeout,60000425,295720,312705
77,timeout,60000201,185324,234935
78,timeout,60000240,195504,226013
79,timeout,60000187,174004,214455
80,timeout,60000434,277760,312194
81,timeout,60000198,217256,279267
82,timeout,60000426,398720,489244
83,timeout,60000175,122032,169848
84,timeout,60000466,269108,282433
85,timeout,60000319,108612,153986
86,timeout,60000193,229248,243855
87,timeout,60000432,342912,322085
88,timeout,60000403,319724,381549
89,timeout,60000408,197956,222202
90,timeout,60000450,193024,225311
91,timeout,60000619,234408,272941
92,timeout,60000419,550468,548986
93,timeout,60000170,338944,397916
94,timeout,60000360,253452,327051
95,timeout,60000324,231424,266440
96,timeout,60000260,333364,378217
97,timeout,60000202,374964,419936
98,timeout,60000176,241332,274295
99,timeout,60000206,107692,127466
100,timeout,60000171,308480,310991
