test,result,time (μs),memory (kb),clauses
1,timeout,60000434,136368,150957
2,timeout,60000440,173860,209999
3,timeout,60000232,210352,241370
4,timeout,60000208,114176,136278
5,timeout,60000219,279932,347163
6,timeout,60000290,164128,196602
7,timeout,60000448,314160,364850
8,timeout,60000207,191100,228414
9,timeout,60000186,161200,160862
10,timeout,60000251,218928,294559
11,timeout,60000452,185088,226335
12,timeout,60000419,705456,770439
13,timeout,60000212,329008,397733
14,timeout,60000147,122544,159868
15,timeout,60000435,262192,276184
16,timeout,60000595,317232,380428
17,timeout,60000385,518820,650533
18,timeout,60000571,365488,453264
19,timeout,60000349,96868,121320
20,timeout,60000395,212016,284862
21,timeout,60000223,160432,189314
22,timeout,60000199,103292,133262
23,timeout,60000447,653476,769887
24,timeout,60000460,196732,238840
25,timeout,60000192,168828,209674
26,timeout,60000193,277756,371237
27,timeout,60000207,193968,243512
28,timeout,60000173,157052,209579
29,timeout,60000239,494844,556630
30,timeout,60000201,191732,229983
31,timeout,60000211,282600,326798
32,timeout,60000212,150960,178521
33,timeout,60000158,89852,110178
34,timeout,60000256,166960,186905
35,timeout,60000156,182960,180266
36,timeout,60000151,135552,164146
37,timeout,60000452,135272,160809
38,timeout,60000235,253232,310996
39,timeout,60000222,233648,272455
40,timeout,60000188,290176,351670
41,timeout,60000171,258752,229332
42,timeout,60000196,247912,250445
43,timeout,60000273,316208,344030
44,timeout,60000449,207920,271285
45,timeout,60000176,204672,228092
46,timeout,60000205,152316,187911
47,timeout,60000199,179116,238449
48,timeout,60000204,217264,246749
49,timeout,60000162,220336,249416
50,timeout,60000212,397180,512254
51,timeout,60000228,201060,240128
52,timeout,60000410,267696,322385
53,timeout,60000451,160556,205758
54,timeout,60000200,349744,448531
55,timeout,60000443,127408,175668
56,timeout,60000207,172208,179725
57,timeout,60000161,121316,156777
58,timeout,60000224,473212,483423
59,timeout,60000402,388220,445497
60,timeout,60000447,169520,180619
61,timeout,60000204,225024,315099
62,timeout,60000539,153408,182577
63,timeout,60000183,246192,255840
64,timeout,60000449,192636,214944
65,timeout,60000276,557104,642393
66,timeout,60000190,142384,204240
67,timeout,60000427,304148,364627
68,timeout,60000150,296444,370515
69,timeout,60000206,267568,283854
70,timeout,60000516,285664,378518
71,timeout,60000426,149244,192851
72,timeout,60000190,750972,816115
73,timeout,60000193,247216,318016
74,timeout,60000446,168752,210421
75,timeout,60000218,190076,245992
76,timeout,60000160,296240,313523
77,timeout,60000399,185776,236093
78,timeout,60000452,197604,228084
79,timeout,60000438,175612,215901
80,timeout,60000422,281904,316798
81,timeout,60000178,220160,283050
82,timeout,60000432,402304,493642
83,timeout,60000372,123516,171365
84,timeout,60000183,276656,290431
85,timeout,60000221,110116,156155
86,timeout,60000188,233392,248285
87,timeout,60000229,347772,326493
88,timeout,60000207,316208,378833
89,timeout,60000239,200752,225405
90,timeout,60000206,193840,226897
91,timeout,60000383,235900,274407
92,timeout,60000169,564288,559166
93,timeout,60000166,347388,408507
94,timeout,60000140,258296,332625
95,timeout,60000148,235388,271126
96,timeout,60000222,346928,393190
97,timeout,60000635,382716,428414
98,timeout,60000345,242304,274973
99,timeout,60000206,110384,130817
100,timeout,60000206,313724,316208
