test,result,time (μs),memory (kb),clauses
1,timeout,60000471,18428,431
2,timeout,60000402,18428,431
3,timeout,60000138,18428,431
4,SAT,58884875,18428,431
5,SAT,7556947,18428,431
6,SAT,2352348,18428,431
7,SAT,15440097,18428,431
8,timeout,60000175,18428,431
9,timeout,60000207,18428,431
10,SAT,4780192,18428,431
11,SAT,49609712,18428,431
12,SAT,939198,18428,431
13,SAT,1572086,18428,431
14,timeout,60000365,18428,431
15,timeout,60000160,18428,431
16,SAT,4417999,18428,431
17,timeout,60000228,18428,431
18,timeout,60000500,18428,431
19,SAT,36204428,18428,431
20,timeout,60000158,18428,431
21,timeout,60000455,18428,431
22,SAT,26000484,18428,431
23,SAT,3916690,18428,431
24,timeout,60000471,18428,431
25,timeout,60000170,18428,431
26,timeout,60000196,18428,431
27,timeout,60000447,18428,431
28,timeout,60000412,18428,431
29,timeout,60000178,18428,431
30,SAT,17479642,18428,430
31,timeout,60000423,636168,431
32,timeout,60000228,18428,431
33,SAT,23899001,18428,431
34,timeout,60000224,18428,430
35,timeout,60000396,18428,431
36,timeout,60000398,18428,431
37,timeout,60000319,18428,430
38,timeout,60000389,18428,431
39,SAT,4678708,18428,431
40,timeout,60000237,18428,431
41,SAT,5234114,18428,431
42,timeout,60000153,18428,431
43,timeout,60000559,18428,430
44,SAT,53274890,18428,430
45,SAT,56246859,18428,431
46,timeout,60000156,18428,431
47,SAT,2399181,18428,431
48,timeout,60000207,18428,431
49,timeout,60000664,18428,431
50,timeout,60000241,18428,431
51,timeout,60000181,18428,431
52,SAT,7942713,18428,431
53,timeout,60000207,18428,431
54,timeout,60000370,18428,431
55,timeout,60000151,18428,431
56,SAT,24356491,18428,431
57,timeout,60000643,18428,431
58,timeout,60000136,18428,431
59,SAT,41487580,18428,431
60,SAT,11424287,18428,431
61,timeout,60000110,18428,431
62,timeout,60000195,18428,431
63,timeout,60000237,18428,431
64,timeout,60000210,18428,431
65,SAT,25138477,18428,431
66,SAT,209891,18428,431
67,timeout,60000453,18428,431
68,SAT,45427226,18428,431
69,timeout,60000197,18428,431
70,SAT,1270530,18428,431
71,timeout,60000211,18428,431
72,timeout,60000119,18428,431
73,SAT,43994901,18428,431
74,timeout,60000225,18428,431
75,timeout,60000215,18428,431
76,SAT,20446656,18428,431
77,timeout,60000443,18428,431
78,timeout,60000168,18428,431
79,timeout,60000155,18428,431
80,timeout,60000198,18428,430
81,timeout,60000207,18428,431
82,SAT,55641492,18428,431
83,SAT,21193909,18428,431
84,timeout,60000410,18428,431
85,timeout,60000203,18428,431
86,SAT,2677856,18428,431
87,SAT,17101014,18428,431
88,SAT,4904525,18428,431
89,timeout,60000558,18428,431
90,timeout,60000440,18428,431
91,SAT,45949850,18428,431
92,SAT,6759601,18428,431
93,timeout,60000203,18428,430
94,timeout,60000494,18428,431
95,SAT,23502041,18428,431
96,SAT,58017241,18428,431
97,timeout,60000206,18428,431
98,timeout,60000450,18428,431
99,SAT,35010774,18428,431
100,SAT,10521128,18428,431
