test,result,time (μs),memory (kb),clauses
1,SAT,58179235,18444,989
2,SAT,13173063,18444,989
3,timeout,60000172,18444,989
4,SAT,20000414,18444,989
5,SAT,1582533,18444,989
6,timeout,60000194,18444,989
7,timeout,60000156,18444,989
8,timeout,60000182,18444,989
9,timeout,60000194,18444,989
10,timeout,60000186,18444,989
11,timeout,60000547,18444,989
12,SAT,35294746,18444,989
13,timeout,60000172,18444,989
14,timeout,60000189,18444,989
15,SAT,40603225,18444,989
16,SAT,39817522,18444,989
17,timeout,60000173,18444,989
18,timeout,60000215,18444,989
19,timeout,60000166,18444,989
20,timeout,60000232,18444,989
21,timeout,60000201,18444,989
22,timeout,60000163,18444,989
23,timeout,60000225,18444,989
24,timeout,60000153,18444,989
25,timeout,60000190,18444,989
26,SAT,19817230,18444,989
27,timeout,60000189,18444,989
28,SAT,24968902,18444,989
29,timeout,60000162,18444,989
30,SAT,26869940,18444,989
31,timeout,60000215,18444,989
32,timeout,60000162,18444,989
33,timeout,60000188,18444,989
34,timeout,60000158,18444,989
35,timeout,60000206,18444,989
36,timeout,60000213,18444,989
37,SAT,240601,18444,989
38,timeout,60000442,18444,989
39,SAT,2720591,18444,989
40,timeout,60000163,18444,989
41,timeout,60000171,18444,989
42,timeout,60000447,18444,989
43,timeout,60000155,18444,989
44,timeout,60000173,18444,989
45,SAT,33308321,18444,989
46,SAT,903307,18444,989
47,timeout,60000198,18444,989
48,timeout,60000224,18444,989
49,timeout,60000183,18444,989
50,timeout,60000220,18444,989
51,SAT,58382676,18444,989
52,timeout,60000217,18444,989
53,timeout,60000160,18444,989
54,timeout,60000161,18444,989
55,SAT,43810753,18444,989
56,SAT,49190309,18444,989
57,timeout,60000212,18444,989
58,SAT,5899843,18444,989
59,timeout,60000227,18444,989
60,SAT,846519,18444,989
61,timeout,60000163,18444,989
62,SAT,3498441,18444,989
63,timeout,60000167,18444,989
64,timeout,60000162,18444,989
65,timeout,60000177,18444,989
66,SAT,11919003,18444,989
67,timeout,60000215,18444,989
68,timeout,60000176,18444,989
69,timeout,60000167,18444,989
70,SAT,18074318,18444,989
71,timeout,60000183,18444,989
72,SAT,27149683,18444,989
73,timeout,60000199,18444,989
74,timeout,60000178,18444,989
75,SAT,7768468,18444,989
76,timeout,60000169,18444,989
77,timeout,60000208,18444,989
78,timeout,60000151,18444,989
79,timeout,60000221,18444,989
80,timeout,60000193,18444,989
81,timeout,60000171,18444,989
82,SAT,3830901,18444,989
83,timeout,60000190,18444,989
84,timeout,60000200,18444,989
85,SAT,8293415,18444,989
86,timeout,60000245,18444,989
87,timeout,60000161,18444,989
88,timeout,60000193,18444,989
89,SAT,51611331,18444,989
90,timeout,60000175,18444,989
91,timeout,60000160,18444,989
92,SAT,6110190,18444,989
93,timeout,60000156,18444,989
94,SAT,2301051,18444,989
95,timeout,60000163,18444,989
96,timeout,60000206,18444,989
97,timeout,60000230,18444,989
98,SAT,1500423,18444,989
99,timeout,60000158,18444,989
100,timeout,60000450,18444,989
