test,result,time (μs),memory (kb),clauses
1,timeout,60000215,18188,988
2,timeout,60000186,18188,988
3,timeout,60000277,18188,988
4,timeout,60000182,18188,988
5,timeout,60000186,18188,988
6,timeout,60000194,18188,988
7,timeout,60000190,18188,988
8,timeout,60000208,18188,988
9,timeout,60000193,18188,988
10,timeout,60000217,18188,988
11,timeout,60000192,18188,988
12,timeout,60000171,18188,988
13,timeout,60000206,18188,988
14,timeout,60000274,18188,988
15,timeout,60000207,18188,988
16,timeout,60000179,18188,988
17,timeout,60000940,18188,988
18,timeout,60000215,18188,988
19,timeout,60000226,18188,988
20,timeout,60000158,18188,988
21,timeout,60000145,18188,988
22,timeout,60000183,18188,988
23,timeout,60000207,18188,988
24,timeout,60000242,18188,988
25,timeout,60000196,18188,988
26,timeout,60000175,18188,988
27,timeout,60000486,18188,988
28,timeout,60000495,18188,988
29,timeout,60000192,18188,988
30,timeout,60000186,18188,988
31,timeout,60000210,18188,988
32,timeout,60000213,18188,988
33,timeout,60000203,18188,988
34,timeout,60000191,18188,988
35,timeout,60000191,18188,988
36,timeout,60000192,18188,988
37,timeout,60000178,18188,988
38,timeout,60000189,18188,988
39,timeout,60000223,18188,988
40,timeout,60000166,18188,988
41,timeout,60000211,18188,988
42,timeout,60000190,18188,988
43,timeout,60000174,18188,988
44,timeout,60000190,18188,988
45,timeout,60000201,18188,988
46,timeout,60000213,18188,988
47,timeout,60000171,18188,988
48,timeout,60000180,18188,988
49,timeout,60000228,18188,988
50,timeout,60000194,18188,988
51,timeout,60000180,18188,988
52,timeout,60000228,18188,988
53,timeout,60000181,18188,988
54,timeout,60000224,18188,988
55,timeout,60000201,18188,988
56,timeout,60000222,18188,988
57,timeout,60000179,18188,988
58,timeout,60000167,18188,988
59,timeout,60000153,18188,988
60,timeout,60000188,18188,988
61,timeout,60000235,18188,988
62,timeout,60000209,18188,988
63,timeout,60000202,18188,988
64,timeout,60000179,18188,988
65,timeout,60000190,18188,988
66,timeout,60000198,18188,988
67,timeout,60000244,18188,988
68,timeout,60000207,18188,988
69,timeout,60000212,18188,988
70,timeout,60000190,18188,988
71,timeout,60000196,18188,988
72,timeout,60000177,18188,988
73,timeout,60000187,18188,988
74,timeout,60000190,18188,988
75,timeout,60000179,18188,988
76,timeout,60000163,18188,988
77,timeout,60000200,18188,988
78,timeout,60000181,18188,988
79,timeout,60000216,18188,988
80,timeout,60000199,18188,988
81,timeout,60000179,18188,988
82,timeout,60000180,18188,988
83,timeout,60000190,18188,988
84,timeout,60000224,18188,988
85,timeout,60000416,18188,988
86,timeout,60000204,18188,988
87,timeout,60000178,18188,988
88,timeout,60000190,18188,988
89,timeout,60000177,18188,988
90,timeout,60000188,18188,988
91,timeout,60000209,18188,988
92,timeout,60000154,18188,988
93,timeout,60000193,18188,988
94,timeout,60000235,18188,988
95,timeout,60000177,18188,988
96,timeout,60000173,18188,988
97,timeout,60000174,18188,988
98,timeout,60000190,18188,988
99,timeout,60000216,18188,988
100,timeout,60000188,18188,988
