test,result,time (μs),memory (kb),clauses
1,SAT,229356,18384,999
2,timeout,60000212,18384,999
3,timeout,60000178,18384,999
4,SAT,551574,18384,999
5,timeout,60000205,18384,999
6,timeout,60000208,18384,999
7,timeout,60000216,18384,999
8,timeout,60000194,18384,999
9,timeout,60000212,18384,999
10,timeout,60000224,18384,999
11,SAT,9182600,18384,999
12,timeout,60000248,18384,999
13,timeout,60000210,18384,999
14,timeout,60000176,18384,999
15,SAT,5858925,18384,999
16,timeout,60000205,18384,999
17,timeout,60000215,18384,999
18,timeout,60000226,18384,999
19,timeout,60000159,18384,999
20,timeout,60000149,18384,999
21,timeout,60000210,18384,999
22,SAT,21975526,18384,999
23,timeout,60000392,18384,999
24,timeout,60000229,18384,999
25,timeout,60000238,18384,999
26,timeout,60000183,18384,999
27,timeout,60000214,18384,999
28,SAT,91372,18384,999
29,timeout,60000208,18384,999
30,timeout,60000205,18384,999
31,timeout,60000170,18384,999
32,timeout,60000241,18384,999
33,timeout,60000227,18384,999
34,timeout,60000498,18384,999
35,timeout,60000240,18384,999
36,timeout,60000225,18384,999
37,timeout,60000197,18384,999
38,timeout,60000206,18384,999
39,SAT,35872133,18384,999
40,SAT,2250079,18384,999
41,SAT,29592268,18384,999
42,timeout,60000192,18384,999
43,timeout,60000221,18384,999
44,timeout,60000188,18384,999
45,timeout,60000207,18384,999
46,SAT,59946,18384,999
47,timeout,60000478,18384,999
48,timeout,60000216,18384,999
49,SAT,2640745,18384,999
50,timeout,60000150,18384,999
51,timeout,60000454,18384,999
52,SAT,15442394,18384,999
53,timeout,60000166,18384,999
54,timeout,60000241,18384,999
55,timeout,60000233,18384,999
56,timeout,60000193,18384,999
57,timeout,60000176,18384,999
58,timeout,60000220,18384,999
59,timeout,60000206,18384,999
60,timeout,60000213,18384,999
61,SAT,1204077,18384,999
62,SAT,567997,18384,999
63,timeout,60000225,18384,999
64,timeout,60000173,18384,999
65,SAT,3463174,18384,999
66,SAT,190528,18384,999
67,timeout,60000195,18384,999
68,SAT,7845872,18384,999
69,timeout,60000148,18384,999
70,SAT,3784251,18384,999
71,timeout,60000162,18384,999
72,timeout,60000193,18384,999
73,SAT,329735,18384,999
74,timeout,60000253,18384,999
75,SAT,50496445,18384,999
76,timeout,60000157,18384,999
77,timeout,60000225,18384,999
78,timeout,60000150,18384,999
79,SAT,10319350,18384,999
80,timeout,60000185,18384,999
81,timeout,60000208,18384,999
82,timeout,60000227,18384,999
83,timeout,60000262,18384,999
84,SAT,7068463,18384,999
85,timeout,60000233,18384,999
86,timeout,60000156,18384,999
87,SAT,26814204,18384,999
88,SAT,184685,18384,999
89,timeout,60000103,18384,999
90,timeout,60000139,18384,999
91,timeout,60000203,18384,999
92,timeout,60000245,18384,999
93,SAT,8832068,18384,999
94,SAT,12344107,18384,999
95,timeout,60000193,18384,999
96,SAT,6855885,18384,999
97,timeout,60000213,18384,999
98,timeout,60000230,18384,999
99,timeout,60000190,18384,999
100,timeout,60000162,18384,999
