test,result,time (μs),memory (kb),clauses
1,timeout,60000182,247012,224603
2,timeout,60000204,344588,314132
3,timeout,60000186,512536,481054
4,timeout,60000195,580712,517355
5,timeout,60000187,619496,590717
6,timeout,60000183,555620,517188
7,timeout,60000151,278756,248943
8,timeout,60000175,327268,315961
9,timeout,60000329,432408,387773
10,timeout,60000232,724760,578701
11,timeout,60000195,346468,333251
12,timeout,60000196,448664,426719
13,timeout,60000205,347288,281134
14,timeout,60000198,335720,290478
15,timeout,60000207,857240,733155
16,timeout,60000278,433420,340121
17,timeout,60000204,713496,656723
18,timeout,60000197,582040,440955
19,timeout,60000250,730764,675170
20,timeout,60000209,467736,356434
21,timeout,60000219,576484,516572
22,timeout,60000209,462692,385416
23,timeout,60000200,257816,261982
24,timeout,60000206,431628,369953
25,timeout,60000202,366852,327005
26,timeout,60000192,683416,602902
27,timeout,60000207,709656,617179
28,timeout,60000198,403736,369227
29,timeout,60000150,407304,348791
30,timeout,60000240,293144,264595
31,timeout,60000167,494476,430972
32,timeout,60000203,446824,388322
33,timeout,60000172,491492,441316
34,timeout,60000228,684708,582886
35,timeout,60000201,502424,427685
36,timeout,60000179,766308,649311
37,timeout,60000201,465816,399302
38,timeout,60000239,321292,281975
39,timeout,60000219,446288,390172
40,timeout,60000191,496396,434838
41,timeout,60000203,315160,273224
42,timeout,60000197,533220,491700
43,timeout,60000209,622480,484723
44,timeout,60000187,450188,404870
45,timeout,60000200,404888,315619
46,timeout,60000197,541972,422387
47,timeout,60000340,413976,383452
48,timeout,60000208,430820,386231
49,timeout,60000213,344636,340633
50,timeout,60000180,807448,660694
51,timeout,60000154,275812,223011
52,timeout,60000283,674584,583859
53,timeout,60000202,558872,473452
54,timeout,60000180,297996,260900
55,timeout,60000196,430948,378253
56,timeout,60000196,443672,351046
57,timeout,60000292,298776,287685
58,timeout,60000227,336920,312052
59,timeout,60000203,319972,306995
60,timeout,60000198,350948,271340
61,timeout,60000156,659480,559249
62,timeout,60000180,373076,294104
63,timeout,60000220,584420,504298
64,timeout,60000191,428312,338886
65,timeout,60000226,355224,285688
66,timeout,60000217,291004,252499
67,timeout,60000343,247524,233807
68,timeout,60000160,632600,533799
69,timeout,60000187,210200,201952
70,timeout,60000180,600204,495808
71,timeout,60000194,838296,614443
72,timeout,60000175,223172,197504
73,timeout,60000209,578456,473082
74,timeout,60000158,374808,361210
75,timeout,60000220,695704,568972
76,timeout,60000152,449636,338382
77,timeout,60000210,351896,333058
78,timeout,60000175,691416,531646
79,timeout,60000219,493736,403746
80,timeout,60000368,532248,453706
81,timeout,60000200,409484,330118
82,timeout,60000219,309400,247270
83,timeout,60000178,542100,480236
84,timeout,60000224,555880,472176
85,timeout,60000197,431636,311019
86,timeout,60000198,584716,528949
87,timeout,60000230,458776,438590
88,timeout,60000157,521128,442501
89,timeout,60000138,670184,493947
90,timeout,60000171,442212,346999
91,timeout,60000237,480364,387234
92,timeout,60000278,374480,327301
93,timeout,60000244,739736,591438
94,timeout,60000201,401432,312783
95,timeout,60000213,232984,227371
96,timeout,60000189,552360,452228
97,timeout,60000243,556776,430679
98,timeout,60000195,486152,449877
99,timeout,60000212,447400,412444
100,timeout,60000254,490904,423923
