test,result,time (μs),memory (kb),clauses
1,timeout,60000188,274540,247603
2,timeout,60000194,387228,354925
3,timeout,60000216,500880,471027
4,timeout,60000219,639976,565219
5,timeout,60000201,634012,604089
6,timeout,60000206,597460,552091
7,timeout,60000487,304744,268892
8,timeout,60000206,389020,373059
9,timeout,60000225,484508,428952
10,timeout,60000231,710252,566542
11,timeout,60000188,379112,362856
12,timeout,60000464,503324,474577
13,timeout,60000155,399336,320861
14,timeout,60000244,326888,282446
15,timeout,60000226,832792,713835
16,timeout,60000213,453164,355270
17,timeout,60000163,723612,665526
18,timeout,60000179,633576,477221
19,timeout,60000207,738152,681135
20,timeout,60000297,456092,347727
21,timeout,60000175,545896,492520
22,timeout,60000154,506344,419471
23,timeout,60000208,291472,295318
24,timeout,60000196,418412,359906
25,timeout,60000217,457244,405528
26,timeout,60000255,768400,671601
27,timeout,60000230,696424,606532
28,timeout,60000188,387740,357907
29,timeout,60000229,436508,372919
30,timeout,60000194,285548,256871
31,timeout,60000221,502888,437397
32,timeout,60000201,455312,395589
33,timeout,60000253,550544,493047
34,timeout,60000237,722588,613852
35,timeout,60000220,556060,469498
36,timeout,60000200,773740,655393
37,timeout,60000241,545296,454699
38,timeout,60000253,318736,279669
39,timeout,60000211,435600,380790
40,timeout,60000257,504464,441645
41,timeout,60000191,340140,294129
42,timeout,60000185,540572,497828
43,timeout,60000184,667180,515990
44,timeout,60000246,529640,469113
45,timeout,60000191,460904,353350
46,timeout,60000171,546588,425522
47,timeout,60000213,452496,416118
48,timeout,60000240,486888,432740
49,timeout,60000213,345872,341541
50,timeout,60000240,881436,717652
51,timeout,60000221,281620,227443
52,timeout,60000220,647704,563568
53,timeout,60000213,618984,519664
54,timeout,60000159,323500,281035
55,timeout,60000250,420752,369336
56,timeout,60000190,486684,380479
57,timeout,60000246,325608,312731
58,timeout,60000150,339820,314289
59,timeout,60000224,324508,311029
60,timeout,60000191,394140,302828
61,timeout,60000200,638696,541313
62,timeout,60000219,413044,325422
63,timeout,60000337,650440,558134
64,timeout,60000173,482792,376387
65,timeout,60000216,376336,301291
66,timeout,60000212,328860,285681
67,timeout,60000248,276588,259689
68,timeout,60000192,643924,542522
69,timeout,60000180,212972,203976
70,timeout,60000160,610844,503390
71,timeout,60000274,850972,621996
72,timeout,60000568,226924,200503
73,timeout,60000208,590108,481367
74,timeout,60000258,399896,385150
75,timeout,60000184,701084,572991
76,timeout,60000201,431468,326802
77,timeout,60000214,348520,329764
78,timeout,60000187,699148,537310
79,timeout,60000200,501136,409370
80,timeout,60000208,517148,440999
81,timeout,60000246,438940,350352
82,timeout,60000210,342380,274760
83,timeout,60000273,692548,595441
84,timeout,60000182,626156,526637
85,timeout,60000223,418604,302791
86,timeout,60000263,574056,520134
87,timeout,60000203,476396,454206
88,timeout,60000184,574364,484462
89,timeout,60000225,683808,503854
90,timeout,60000221,432156,339573
91,timeout,60000152,469660,378388
92,timeout,60000151,420584,364662
93,timeout,60000175,752284,599768
94,timeout,60000174,394860,308089
95,timeout,60000217,254864,246332
96,timeout,60000240,608668,493101
97,timeout,60000204,572008,440512
98,timeout,60000186,530644,485177
99,timeout,60000228,490888,448915
100,timeout,60000231,479084,414185
