test,result,time (μs),memory (kb),clauses
1,timeout,60000220,18400,998
2,timeout,60000228,19088,998
3,timeout,60000455,19088,998
4,timeout,60000227,19088,998
5,timeout,60000194,19088,998
6,timeout,60000237,19088,998
7,timeout,60000224,19088,998
8,timeout,60000233,19088,998
9,timeout,60000203,19088,998
10,timeout,60000221,19088,998
11,timeout,60000235,19088,998
12,timeout,60000243,19088,998
13,timeout,60000215,19088,998
14,timeout,60000188,19088,998
15,timeout,60000187,19088,998
16,timeout,60000168,18400,998
17,timeout,60000225,19088,998
18,timeout,60000149,19088,998
19,timeout,60000235,19088,998
20,timeout,60000170,19088,998
21,timeout,60000246,19088,998
22,timeout,60000192,19088,998
23,timeout,60000205,18400,998
24,timeout,60000165,19088,998
25,timeout,60000240,19088,998
26,timeout,60000172,19088,998
27,timeout,60000200,19088,998
28,timeout,60000190,19088,998
29,timeout,60000225,19088,998
30,timeout,60000172,19088,998
31,timeout,60000227,19088,998
32,timeout,60000224,19088,998
33,timeout,60000242,19088,998
34,timeout,60000227,18400,998
35,timeout,60000634,19088,998
36,timeout,60000160,19088,998
37,timeout,60000204,18400,998
38,timeout,60000184,19088,998
39,timeout,60000419,19088,998
40,timeout,60000154,19088,998
41,timeout,60000195,19088,998
42,timeout,60000197,19088,998
43,timeout,60000245,19088,998
44,timeout,60000194,19088,997
45,timeout,60000209,19088,998
46,timeout,60000196,19088,998
47,timeout,60000166,19088,998
48,timeout,60000234,19088,998
49,timeout,60000181,18400,997
50,timeout,60000203,18400,998
51,timeout,60000137,19088,998
52,timeout,60000167,19088,998
53,timeout,60000223,19088,998
54,timeout,60000321,19088,998
55,timeout,60000254,19088,998
56,timeout,60000183,19088,998
57,timeout,60000229,19088,998
58,timeout,60000200,19088,998
59,timeout,60000166,19088,998
60,timeout,60000272,18400,998
61,timeout,60000236,19088,998
62,timeout,60000176,18400,998
63,timeout,60000192,19088,998
64,timeout,60000199,19088,998
65,timeout,60000200,19088,998
66,timeout,60000167,18400,998
67,timeout,60000175,19088,998
68,timeout,60000214,19088,998
69,timeout,60000234,19088,998
70,timeout,60000191,19088,998
71,timeout,60000111,19088,998
72,timeout,60000217,19088,998
73,timeout,60000238,19088,998
74,timeout,60000228,19088,998
75,timeout,60000199,19088,998
76,timeout,60000230,19088,998
77,timeout,60000207,19088,998
78,timeout,60000225,19088,998
79,timeout,60000246,19088,998
80,timeout,60000224,19088,998
81,timeout,60000206,19088,998
82,timeout,60000238,19088,998
83,timeout,60000187,19088,998
84,timeout,60000457,18400,998
85,timeout,60000189,19088,998
86,timeout,60000208,19088,998
87,timeout,60000390,19088,998
88,timeout,60000216,19088,998
89,timeout,60000173,19088,998
90,timeout,60000510,19088,998
91,timeout,60000161,19088,998
92,timeout,60000165,18400,998
93,timeout,60000181,19088,998
94,timeout,60000202,19088,998
95,timeout,60000190,19088,998
96,timeout,60000226,19088,998
97,timeout,60000399,19088,998
98,timeout,60000203,19088,998
99,timeout,60000218,19088,998
100,timeout,60000184,19088,998
