test,result,time (μs),memory (kb),clauses
1,timeout,60000179,20492,2112
2,timeout,60000223,20864,2112
3,timeout,60000212,19400,2112
4,timeout,60000432,20048,2112
5,timeout,60000219,20296,2112
6,timeout,60000215,20424,2112
7,timeout,60000195,20784,2112
8,timeout,60000226,21544,2112
9,timeout,60000148,19760,2112
10,timeout,60000197,20020,2112
11,timeout,60000185,20712,2112
12,timeout,60000168,19772,2112
13,timeout,60000229,20600,2112
14,timeout,60000189,20424,2112
15,timeout,60000217,20652,2112
16,timeout,60000191,20096,2112
17,timeout,60000218,20900,2112
18,timeout,60000191,20068,2112
19,timeout,60000243,20296,2112
20,timeout,60000171,20564,2112
21,timeout,60000186,20768,2112
22,timeout,60000228,18296,2112
23,timeout,60000196,19956,2112
24,timeout,60000192,20164,2112
25,timeout,60000228,19812,2112
26,timeout,60000226,21424,2112
27,timeout,60000215,18504,2112
28,timeout,60000187,20952,2112
29,timeout,60000229,20040,2112
30,timeout,60000215,20552,2112
31,timeout,60000251,20040,2112
32,timeout,60000227,20016,2112
33,timeout,60000221,20296,2112
34,timeout,60000197,19144,2112
35,timeout,60000165,21712,2112
36,timeout,60000189,20016,2112
37,timeout,60000223,20184,2112
38,timeout,60000186,19884,2112
39,timeout,60000188,19888,2112
40,timeout,60000210,20144,2112
41,timeout,60000220,20052,2112
42,timeout,60000226,20044,2112
43,timeout,60000286,21300,2112
44,timeout,60000165,18996,2112
45,timeout,60000212,20776,2112
46,timeout,60000223,20528,2112
47,timeout,60000227,20592,2112
48,timeout,60000238,20852,2112
49,timeout,60000234,20168,2112
50,timeout,60000214,20980,2112
51,timeout,60000158,20040,2112
52,timeout,60000209,20936,2112
53,timeout,60000173,20456,2112
54,timeout,60000161,21084,2112
55,timeout,60000171,19836,2112
56,timeout,60000220,20784,2112
57,timeout,60000215,20924,2112
58,timeout,60000201,20212,2112
59,timeout,60000367,19144,2112
60,timeout,60000246,20040,2112
61,timeout,60000188,20156,2112
62,timeout,60000200,21564,2112
63,timeout,60000232,20296,2112
64,timeout,60000183,20060,2112
65,timeout,60000206,20584,2112
66,timeout,60000229,21188,2112
67,timeout,60000237,20064,2112
68,timeout,60000222,20756,2112
69,timeout,60000212,20424,2112
70,timeout,60000244,20808,2112
71,timeout,60000162,20816,2112
72,timeout,60000229,19656,2112
73,timeout,60000189,21084,2112
74,timeout,60000220,20144,2112
75,timeout,60000208,19976,2112
76,timeout,60000194,20452,2112
77,timeout,60000173,20648,2112
78,timeout,60000211,19756,2112
79,timeout,60000183,20084,2112
80,timeout,60000222,20060,2112
81,timeout,60000194,21300,2112
82,timeout,60000214,19780,2112
83,timeout,60000193,19772,2112
84,timeout,60000222,20128,2112
85,timeout,60000424,19832,2112
86,timeout,60000242,20192,2112
87,timeout,60000191,21160,2112
88,timeout,60000164,21036,2112
89,timeout,60000173,20788,2112
90,timeout,60000179,20412,2112
91,timeout,60000223,21308,2112
92,timeout,60000214,20628,2112
93,timeout,60000211,21180,2112
94,timeout,60000206,19500,2112
95,timeout,60000219,20404,2112
96,timeout,60000174,19764,2112
97,timeout,60000221,20552,2112
98,timeout,60000186,20040,2112
99,timeout,60000219,20056,2112
100,timeout,60000181,21080,2112
