test,result,time (μs),memory (kb),clauses
1,timeout,60000202,21308,2113
2,timeout,60000173,20568,2113
3,timeout,60000180,21612,2113
4,timeout,60000217,20568,2113
5,timeout,60000218,20960,2113
6,timeout,60000177,20736,2113
7,timeout,60000185,21052,2113
8,timeout,60000184,21112,2113
9,timeout,60000180,21300,2113
10,timeout,60000196,21104,2113
11,timeout,60000208,21352,2113
12,SAT,48704610,21272,2113
13,timeout,60000188,21332,2113
14,SAT,50450372,20472,2113
15,timeout,60000190,20588,2113
16,timeout,60000412,20664,2113
17,timeout,60000198,20936,2113
18,SAT,58963042,21096,2113
19,timeout,60000169,20960,2113
20,timeout,60000171,20448,2113
21,timeout,60000179,21336,2113
22,timeout,60000160,20740,2113
23,timeout,60000164,21208,2113
24,timeout,60000222,21340,2113
25,timeout,60000222,20632,2113
26,timeout,60000184,21008,2113
27,timeout,60000220,21220,2113
28,timeout,60000199,21256,2113
29,timeout,60000192,20736,2113
30,timeout,60000200,19968,2113
31,timeout,60000458,20788,2113
32,timeout,60000171,20884,2113
33,timeout,60000248,20508,2113
34,timeout,60000257,20680,2113
35,timeout,60000189,21192,2113
36,timeout,60000169,21228,2113
37,timeout,60000196,21212,2113
38,timeout,60000234,20680,2113
39,timeout,60000196,20600,2113
40,timeout,60000206,20804,2113
41,timeout,60000160,20864,2113
42,timeout,60000211,21268,2113
43,timeout,60000194,20452,2113
44,timeout,60000189,21316,2113
45,timeout,60000172,21012,2113
46,timeout,60000190,21348,2113
47,timeout,60000217,20796,2113
48,timeout,60000209,21592,2113
49,timeout,60000216,21160,2113
50,timeout,60000199,20952,2113
51,timeout,60000170,21284,2113
52,timeout,60000186,21304,2113
53,timeout,60000167,20892,2113
54,timeout,60000179,21024,2113
55,timeout,60000186,21332,2113
56,SAT,30046712,21312,2113
57,timeout,60000259,21596,2113
58,timeout,60000179,20768,2113
59,timeout,60000214,20876,2113
60,timeout,60000202,20608,2113
61,timeout,60000178,21068,2113
62,timeout,60000208,21152,2113
63,timeout,60000162,20364,2113
64,timeout,60000200,20956,2113
65,timeout,60000194,20980,2113
66,timeout,60000219,20800,2113
67,timeout,60000224,20064,2113
68,timeout,60000180,20692,2113
69,timeout,60000184,21512,2113
70,timeout,60000173,21136,2113
71,timeout,60000124,21056,2113
72,timeout,60000227,20604,2113
73,timeout,60000180,20508,2113
74,timeout,60000172,21176,2113
75,SAT,194322,19640,2113
76,SAT,19081635,21312,2113
77,timeout,60000222,20564,2113
78,timeout,60000219,21096,2113
79,timeout,60000176,20776,2113
80,timeout,60000170,21036,2113
81,timeout,60000236,20724,2113
82,timeout,60000180,21208,2113
83,timeout,60000176,21112,2113
84,SAT,231332,19912,2113
85,timeout,60000174,20188,2113
86,timeout,60000191,20940,2113
87,timeout,60000188,20852,2113
88,timeout,60000193,21092,2113
89,timeout,60000232,20824,2113
90,timeout,60000237,20668,2113
91,timeout,60000185,21896,2113
92,timeout,60000145,21428,2113
93,timeout,60000208,20532,2113
94,timeout,60000187,20416,2113
95,timeout,60000214,20532,2113
96,timeout,60000178,20904,2113
97,timeout,60000183,20316,2113
98,timeout,60000228,20836,2113
99,timeout,60000191,20604,2113
100,timeout,60000208,21156,2113
