test,result,time (μs),memory (kb),clauses
1,timeout,60000242,409228,331496
2,timeout,60000301,354764,257934
3,timeout,60000165,464848,343699
4,timeout,60001314,621004,454009
5,timeout,60000240,697408,485305
6,timeout,60000194,648000,463774
7,timeout,60000270,442384,319896
8,timeout,60000227,556480,398069
9,timeout,60000203,681040,466149
10,timeout,60000197,557196,367749
11,timeout,60000197,447936,322358
12,timeout,60000214,492240,354053
13,timeout,60000233,656180,394453
14,timeout,60000233,514384,387281
15,timeout,60000206,348736,262008
16,timeout,60000197,377408,286222
17,timeout,60000216,515008,396704
18,timeout,60000222,486592,366472
19,timeout,60000219,684340,524062
20,timeout,60000199,516916,370491
21,timeout,60000218,786620,520242
22,timeout,60000186,609168,457128
23,timeout,60000211,571844,413017
24,timeout,60000237,545216,380690
25,timeout,60000223,403724,289039
26,timeout,60000219,476048,377974
27,timeout,60000211,488844,348750
28,timeout,60000204,438208,366133
29,timeout,60000233,452160,311899
30,timeout,60000199,331264,258163
31,timeout,60000182,470668,327748
32,timeout,60000212,656704,435097
33,timeout,60000183,653236,469264
34,timeout,60000199,627380,448140
35,timeout,60000206,564876,421380
36,timeout,60000235,691648,519481
37,timeout,60000180,649808,469159
38,timeout,60000217,565056,395122
39,timeout,60000197,508352,333133
40,timeout,60000179,509328,372056
41,timeout,60000209,611000,443601
42,timeout,60000197,569868,414884
43,timeout,60000190,431628,291322
44,timeout,60000216,467904,352435
45,timeout,60000215,454396,412553
46,timeout,60000210,703116,466179
47,timeout,60000196,364596,277313
48,timeout,60000218,611904,460809
49,timeout,60000173,574732,438428
50,timeout,60000704,728628,520357
51,timeout,60000206,406712,282526
52,timeout,60000216,728144,444167
53,timeout,60000195,447796,317906
54,timeout,60000204,398732,317279
55,timeout,60000196,567308,426589
56,timeout,60000207,670400,471772
57,timeout,60000264,934196,685542
58,timeout,60000204,577872,401530
59,timeout,60000220,450000,350235
60,timeout,60000192,551732,413869
61,timeout,60000207,498444,364497
62,timeout,60000201,710796,535988
63,timeout,60000177,590220,417044
64,timeout,60001425,605452,445980
65,timeout,60003832,568464,402979
66,timeout,60000221,662964,499953
67,timeout,60000212,406836,319183
68,timeout,60000234,477964,305205
69,timeout,60000233,441612,307398
70,timeout,60000210,407872,283250
71,timeout,60000272,656064,411402
72,timeout,60000252,428236,311924
73,timeout,60000205,570256,391467
74,timeout,60000211,672320,486567
75,timeout,60000178,548876,405214
76,timeout,60000197,550352,398080
77,timeout,60000191,371340,276414
78,timeout,60000196,622900,455132
79,timeout,60000206,720820,484359
80,timeout,60000200,385036,301251
81,timeout,60000243,566456,432236
82,timeout,60000235,457740,363104
83,timeout,60000224,628748,461766
84,timeout,60000172,566080,366678
85,timeout,60000363,588624,427936
86,timeout,60000208,499904,380144
87,timeout,60000194,589620,382775
88,timeout,60000213,622784,412478
89,timeout,60000209,532800,373093
90,timeout,60000227,654144,505488
91,timeout,60000209,453004,337663
92,timeout,60000247,388800,314265
93,timeout,60000246,422160,287465
94,timeout,60000227,634432,448231
95,timeout,60000174,649784,467054
96,timeout,60000225,564288,394923
97,timeout,60000208,646848,445907
98,timeout,60000306,482556,320691
99,timeout,60000204,547764,329650
100,timeout,60000218,574644,363308
