test,result,time (μs),memory (kb),clauses
1,timeout,60000199,338820,276674
2,timeout,60000231,440752,308942
3,timeout,60000200,525116,381515
4,timeout,60000186,773044,557688
5,timeout,60000181,826544,569963
6,timeout,60000227,709544,508542
7,timeout,60000223,554120,395472
8,timeout,60000215,756028,527832
9,timeout,60000231,865596,580112
10,timeout,60000231,529548,350322
11,timeout,60000189,460348,330898
12,timeout,60000214,607536,431844
13,timeout,60000173,649524,391126
14,timeout,60000174,532872,401201
15,timeout,60000202,416944,305277
16,timeout,60000205,317860,243509
17,timeout,60000184,642252,483829
18,timeout,60000172,489404,368483
19,timeout,60000178,807500,613675
20,timeout,60000207,499592,358762
21,timeout,60000187,755208,499514
22,timeout,60000262,768956,571004
23,timeout,60000201,462856,341580
24,timeout,60000175,664892,455739
25,timeout,60000256,554316,381955
26,timeout,60000228,635020,504230
27,timeout,60000140,586812,416599
28,timeout,60000190,497800,411941
29,timeout,60000178,633404,424327
30,timeout,60000223,428472,330855
31,timeout,60000221,477756,332702
32,timeout,60000207,661000,437340
33,timeout,60000179,634044,455801
34,timeout,60000185,518496,373095
35,timeout,60000158,855348,622513
36,timeout,60000191,950076,697061
37,timeout,60000199,540712,395899
38,timeout,60000188,561072,392564
39,timeout,60000170,629324,408714
40,timeout,60000248,504880,368863
41,timeout,60000189,649528,468661
42,timeout,60000207,892552,628441
43,timeout,60000204,474684,319119
44,timeout,60000235,577032,421539
45,timeout,60000220,374972,347076
46,timeout,60000235,970672,644977
47,timeout,60000212,390792,296264
48,timeout,60000233,730760,539627
49,timeout,60000192,452756,354714
50,timeout,60000211,545464,394681
51,timeout,60000185,497968,343402
52,timeout,60000197,907912,548568
53,timeout,60000204,503740,353910
54,timeout,60000205,601776,457247
55,timeout,60000198,703920,524690
56,timeout,60000215,570684,405143
57,timeout,60000162,990028,725898
58,timeout,60000231,780680,527441
59,timeout,60000231,553864,423433
60,timeout,60000180,544392,408719
61,timeout,60000209,501936,366987
62,timeout,60000258,503828,390356
63,timeout,60000220,711996,496418
64,timeout,60000210,687096,498418
65,timeout,60000185,670988,470259
66,timeout,60000221,560568,437312
67,timeout,60000185,574772,434684
68,timeout,60000192,608688,380609
69,timeout,60000176,489404,340066
70,timeout,60000201,530096,363012
71,timeout,60000258,699708,438054
72,timeout,60000161,569276,403682
73,timeout,60000218,587452,401754
74,timeout,60000253,728120,521426
75,timeout,60000200,604592,442270
76,timeout,60000188,532400,385685
77,timeout,60000175,405692,298993
78,timeout,60000256,626572,457676
79,timeout,60000212,909324,594637
80,timeout,60000218,383804,300672
81,timeout,60000236,555952,424096
82,timeout,60000214,662156,505492
83,timeout,60000184,633992,465221
84,timeout,60000180,518444,340303
85,timeout,60000243,720780,511612
86,timeout,60000178,486284,371793
87,timeout,60000202,732592,476081
88,timeout,60000198,675504,443486
89,timeout,60000253,596540,414757
90,timeout,60000184,741128,563567
91,timeout,60000197,481800,358208
92,timeout,60000268,360504,292754
93,timeout,60000188,542652,362530
94,timeout,60000149,792880,552182
95,timeout,60000216,667784,478514
96,timeout,60000373,540808,379975
97,timeout,60000201,854460,571367
98,timeout,60000169,653576,422009
99,timeout,60000200,790076,456477
100,timeout,60000226,560776,353783
