test,result,time (μs),memory (kb),clauses
1,SAT,15928,18292,427
2,UNSAT,2585542,18292,428
3,UNSAT,4832736,18292,428
4,SAT,98631,18292,427
5,SAT,925348,18292,427
6,SAT,44289,18292,427
7,SAT,614371,18292,427
8,SAT,18989,18292,427
9,SAT,78065,18292,427
10,SAT,53738,18292,427
11,SAT,2071009,18292,427
12,SAT,208031,18292,427
13,SAT,37269,18292,427
14,SAT,764381,18292,427
15,SAT,2506837,18292,427
16,SAT,60753,18292,427
17,UNSAT,2182510,18292,428
18,UNSAT,8760462,18292,428
19,SAT,3533269,18292,427
20,UNSAT,2375218,18292,428
21,SAT,94499,18292,427
22,SAT,332527,18292,427
23,SAT,1227097,18292,427
24,SAT,26457,18292,427
25,SAT,176350,18292,427
26,SAT,772498,18292,427
27,UNSAT,4835358,18292,428
28,SAT,30989,18292,427
29,SAT,102508,18292,427
30,SAT,4091123,18292,427
31,SAT,468244,18292,427
32,UNSAT,2118247,18292,428
33,SAT,591695,18292,427
34,UNSAT,2295844,18292,428
35,UNSAT,2238113,18292,428
36,UNSAT,1946100,18292,428
37,SAT,262240,18292,427
38,UNSAT,7796190,18292,428
39,SAT,57503,18292,427
40,SAT,373256,18292,427
41,SAT,245544,18292,427
42,UNSAT,2726317,18292,428
43,UNSAT,5621906,18292,428
44,SAT,58273,18292,427
45,SAT,557215,18292,427
46,UNSAT,9873361,18292,428
47,UNSAT,3014796,18292,428
48,SAT,33665,18292,427
49,SAT,49135,18292,427
50,SAT,33290,18292,427
51,SAT,449586,18292,427
52,SAT,298496,18292,427
53,SAT,117702,18292,427
54,SAT,342498,18292,427
55,UNSAT,4357055,18292,428
56,SAT,526074,18292,427
57,SAT,31283,18292,427
58,UNSAT,4291433,18292,428
59,UNSAT,4020654,18292,428
60,SAT,260200,18292,427
61,UNSAT,6161971,18292,428
62,SAT,77520,18292,427
63,SAT,2156623,18292,427
64,SAT,1586508,18292,427
65,SAT,1212522,18292,427
66,SAT,60483,18292,427
67,UNSAT,2664056,18292,428
68,UNSAT,2079280,18292,428
69,SAT,463275,18292,427
70,SAT,30193,18292,427
71,SAT,285322,18292,427
72,UNSAT,3800606,18292,428
73,SAT,1004933,18292,427
74,SAT,1373517,18292,427
75,SAT,1124058,18292,427
76,SAT,21133,18292,427
77,UNSAT,3235076,18292,428
78,SAT,40992,18292,427
79,SAT,1086788,18292,427
80,SAT,26623,18292,427
81,SAT,28149,18292,427
82,SAT,18296,18292,427
83,SAT,32577,18292,427
84,SAT,2645077,18292,427
85,UNSAT,6198440,18292,428
86,UNSAT,4868567,18292,428
87,SAT,821899,18292,427
88,UNSAT,4511810,18292,428
89,SAT,36661,18292,427
90,SAT,87654,18292,427
91,SAT,4064258,18292,427
92,SAT,207159,18292,427
93,SAT,158005,18292,427
94,SAT,30426,18292,427
95,SAT,99048,18292,427
96,SAT,238445,18292,427
97,SAT,21286,18292,427
98,SAT,31411,18292,427
99,SAT,397173,18292,427
100,SAT,3821117,18292,427
