test,result,time (μs),memory (kb),clauses
1,SAT,34560464,18440,426
2,timeout,60000158,18440,426
3,timeout,60000200,18440,426
4,SAT,515501,18440,425
5,timeout,60000440,18440,426
6,SAT,213498,18440,426
7,SAT,6515579,18440,426
8,timeout,60000188,18440,426
9,timeout,60000405,18440,426
10,SAT,6271134,18440,426
11,timeout,60000236,18440,426
12,SAT,883601,18440,426
13,SAT,36985,18440,426
14,SAT,37445265,18440,425
15,SAT,2074718,18440,426
16,SAT,8161807,18440,426
17,timeout,60000491,18440,426
18,timeout,60000216,18440,426
19,timeout,60000229,18440,426
20,timeout,60000499,18440,426
21,timeout,60000214,18440,426
22,SAT,24563566,18440,426
23,SAT,7506863,18440,426
24,SAT,52670858,18440,426
25,timeout,60000207,18440,426
26,timeout,60000169,18440,426
27,timeout,60000197,18440,426
28,SAT,25178551,18440,426
29,timeout,60000181,18440,426
30,timeout,60000393,18440,426
31,SAT,35863059,18440,426
32,timeout,60000158,18440,426
33,SAT,32973884,18440,426
34,timeout,60000219,18440,426
35,timeout,60000206,18440,426
36,timeout,60000157,18440,426
37,timeout,60000228,18440,426
38,timeout,60000174,18440,426
39,timeout,60000478,18440,426
40,SAT,14361201,18440,426
41,SAT,20927712,18440,426
42,timeout,60000241,18440,426
43,timeout,60000504,18440,425
44,SAT,14137036,18440,426
45,timeout,60000204,18440,426
46,timeout,60000160,18440,426
47,timeout,60000156,18440,426
48,timeout,60000208,18440,426
49,SAT,29677243,18440,426
50,SAT,38191016,18440,425
51,SAT,141991,18440,426
52,SAT,25301085,18440,426
53,SAT,1301299,18440,426
54,SAT,30168473,18440,426
55,timeout,60000409,18440,426
56,SAT,2894836,18440,426
57,timeout,60000192,18440,426
58,timeout,60000335,18440,426
59,timeout,60000167,18440,426
60,SAT,5379204,18440,426
61,timeout,60000136,18440,426
62,SAT,45176579,18440,426
63,timeout,60000175,18440,425
64,timeout,60000310,18440,426
65,SAT,18086475,18440,426
66,SAT,33110117,18440,426
67,timeout,60000151,18440,426
68,timeout,60000251,18440,425
69,SAT,19751353,18440,425
70,SAT,134277,18440,426
71,timeout,60000407,18440,426
72,timeout,60000187,18440,426
73,timeout,60000456,18440,426
74,timeout,60000195,18440,426
75,timeout,60000193,18440,426
76,SAT,2532607,18440,426
77,timeout,60000201,18440,426
78,SAT,26588173,18440,426
79,timeout,60000128,18440,425
80,SAT,13258549,18440,426
81,SAT,11025560,18440,426
82,SAT,9721828,18440,426
83,SAT,36439680,18440,425
84,timeout,60000421,18440,426
85,timeout,60000443,18440,426
86,timeout,60000204,18440,426
87,SAT,3176356,18440,426
88,timeout,60000162,18440,426
89,SAT,1781952,18440,426
90,SAT,514041,18440,426
91,SAT,10324308,18440,426
92,timeout,60000120,18440,426
93,timeout,60000165,18440,426
94,timeout,60000206,18440,426
95,SAT,16288010,18440,426
96,SAT,4886704,18440,426
97,SAT,1988714,18440,426
98,SAT,1192372,18440,426
99,SAT,23975447,18440,426
100,SAT,27433471,18440,426
