test,result,time (μs),memory (kb),clauses
1,timeout,60000197,234284,311205
2,timeout,60000379,561196,554441
3,timeout,60000175,219300,213419
4,timeout,60000422,493156,564071
5,timeout,60000176,173988,211657
6,timeout,60000228,254124,334577
7,timeout,60000217,434092,526965
8,timeout,60000172,201260,245722
9,timeout,60000206,164284,210215
10,timeout,60000415,186216,214798
11,timeout,60000158,274144,322918
12,timeout,60000221,559868,595203
13,timeout,60000260,483112,550372
14,timeout,60000224,420656,471316
15,timeout,60000262,270132,331592
16,timeout,60000472,416740,421442
17,timeout,60000176,165880,238434
18,timeout,60000177,325856,415108
19,timeout,60000181,240156,290323
20,timeout,60000136,237696,243567
21,timeout,60000185,142844,192517
22,timeout,60000182,262460,303502
23,timeout,60000143,404652,466648
24,timeout,60000219,105648,127733
25,timeout,60000199,104184,115684
26,timeout,60000208,126140,172492
27,timeout,60000163,104112,131884
28,timeout,60000216,244144,269201
29,timeout,60000194,523436,621142
30,timeout,60000211,92324,124856
31,timeout,60000202,295416,305360
32,timeout,60000162,335020,407862
33,timeout,60000183,222252,273757
34,timeout,60000183,130876,165678
35,timeout,60000239,348076,380256
36,timeout,60000175,343292,397344
37,timeout,60000245,194348,263321
38,timeout,60000424,359204,362710
39,timeout,60000202,159104,174918
40,timeout,60000194,146476,181783
41,timeout,60000171,159404,169031
42,timeout,60000454,317372,399318
43,timeout,60000425,141356,202200
44,timeout,60000567,270892,309408
45,timeout,60000191,154464,216773
46,timeout,60000214,451628,520927
47,timeout,60000163,303148,426574
48,timeout,60000195,250744,274847
49,timeout,60000200,152864,191417
50,timeout,60000208,133604,159944
51,timeout,60000180,217404,224706
52,timeout,60000212,186672,227082
53,timeout,60000156,155896,200307
54,timeout,60000239,321784,343804
55,timeout,60000209,167804,212881
56,timeout,60000409,193840,230042
57,timeout,60000148,578172,666539
58,timeout,60000195,247720,289775
59,timeout,60000218,130860,165781
60,timeout,60000222,175900,231188
61,timeout,60000231,574076,661649
62,timeout,60000523,132472,161348
63,timeout,60000209,401452,422426
64,timeout,60000203,480760,570851
65,timeout,60000180,218748,259048
66,timeout,60000198,204924,234853
67,timeout,60000234,205344,245161
68,timeout,60000219,229240,312584
69,timeout,60000322,131368,151669
70,timeout,60000235,253688,292239
71,timeout,60000250,165676,213880
72,timeout,60000241,194476,239601
73,timeout,60000201,436708,422972
74,timeout,60000228,313644,349137
75,timeout,60000201,210936,232419
76,timeout,60000256,425136,566675
77,timeout,60000210,188340,243761
78,timeout,60000237,262904,319341
79,timeout,60000444,300844,340915
80,timeout,60000234,241920,307183
81,timeout,60000166,154908,170315
82,timeout,60000459,334636,356112
83,timeout,60000210,143148,149638
84,timeout,60000265,129580,176000
85,timeout,60000155,242300,327764
86,timeout,60000149,209700,233771
87,timeout,60000208,205868,281591
88,timeout,60000238,157608,209604
89,timeout,60000247,109740,142547
90,timeout,60000205,784488,712215
91,timeout,60000163,214140,219004
92,timeout,60000210,410872,435942
93,timeout,60000231,280224,353166
94,timeout,60000192,265260,294165
95,timeout,60000245,151672,182770
96,timeout,60000414,326240,451534
97,timeout,60000161,180780,228700
98,timeout,60000201,130220,168667
99,timeout,60000173,170616,222793
100,timeout,60000240,479792,537153
