test,result,time (μs),memory (kb),clauses
1,timeout,60000178,228228,302997
2,timeout,60000231,545156,539718
3,timeout,60000206,217604,211947
4,timeout,60000227,481004,550718
5,timeout,60000207,173876,211198
6,timeout,60000203,254696,334569
7,timeout,60000443,424116,514815
8,timeout,60000451,198528,242127
9,timeout,60000393,160132,204851
10,timeout,60000219,184884,213339
11,timeout,60000235,273460,322369
12,timeout,60000428,544180,580151
13,timeout,60000201,476084,543010
14,timeout,60000225,411244,461346
15,timeout,60000402,341296,412848
16,timeout,60000232,407424,411822
17,timeout,60000200,164608,236806
18,timeout,60000190,323072,411598
19,timeout,60000242,237876,288034
20,timeout,60000158,235332,241332
21,timeout,60000212,142644,192459
22,timeout,60000228,259584,299398
23,timeout,60000155,394152,454727
24,timeout,60000185,105396,127628
25,timeout,60000438,104644,115975
26,timeout,60000212,123392,169061
27,timeout,60000215,104068,131422
28,timeout,60000474,245428,270403
29,timeout,60000239,501428,595672
30,timeout,60000142,94976,128170
31,timeout,60000518,295220,305360
32,timeout,60000243,292000,335580
33,timeout,60000192,221492,272943
34,timeout,60000209,128820,163669
35,timeout,60000151,341760,373262
36,timeout,60000207,336128,390102
37,timeout,60000166,190388,258374
38,timeout,60000206,357736,361391
39,timeout,60000191,173316,207533
40,timeout,60000439,146308,181315
41,timeout,60000179,155304,164127
42,timeout,60000187,311556,392378
43,timeout,60000212,140164,200332
44,timeout,60000164,269312,306746
45,timeout,60000178,152704,214056
46,timeout,60000197,443392,512341
47,timeout,60000197,300904,423081
48,timeout,60000202,247732,272168
49,timeout,60000156,137472,172558
50,timeout,60000208,130308,156069
51,timeout,60000324,215988,223496
52,timeout,60000419,193152,234012
53,timeout,60000157,150696,194750
54,timeout,60000466,317236,339677
55,timeout,60000227,166580,211529
56,timeout,60000180,191172,226851
57,timeout,60000156,576296,664863
58,timeout,60000450,247040,288633
59,timeout,60000492,146176,184283
60,timeout,60000217,168324,217157
61,timeout,60000223,558016,646338
62,timeout,60000152,129280,157654
63,timeout,60000153,395368,416107
64,timeout,60000191,449412,536673
65,timeout,60000205,215476,255354
66,timeout,60000263,202036,232205
67,timeout,60000206,201960,241663
68,timeout,60000214,233268,319311
69,timeout,60000153,131240,151594
70,timeout,60000343,249576,288380
71,timeout,60000192,165700,213511
72,timeout,60000483,195240,240194
73,timeout,60000481,432256,418352
74,timeout,60000446,313652,349086
75,timeout,60000199,290564,305825
76,timeout,60000171,422264,562959
77,timeout,60000464,185984,240547
78,timeout,60000171,262708,319516
79,timeout,60000418,274228,310846
80,timeout,60000456,224896,288934
81,timeout,60000212,149956,164379
82,timeout,60000225,330240,351405
83,timeout,60000227,143364,149051
84,timeout,60000228,129024,174660
85,timeout,60000188,241460,321385
86,timeout,60000161,208564,232888
87,timeout,60000188,206212,281643
88,timeout,60000178,156996,208430
89,timeout,60000196,110208,142694
90,timeout,60000201,772648,702865
91,timeout,60000193,212020,217053
92,timeout,60000229,404224,428314
93,timeout,60000200,274560,346586
94,timeout,60000325,263220,292118
95,timeout,60000241,148008,178426
96,timeout,60000227,322116,445692
97,timeout,60000192,179840,227285
98,timeout,60000245,130816,168731
99,timeout,60000247,169908,222533
100,timeout,60000178,474756,531521
